"Table 16. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Industrial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Mascoutah City of,Publicly Owned,5,154,"1,950",7.90
McDonough Power Cooperative,Cooperative,5,"1,077","14,000",7.69
Menard Electric Cooperative,Cooperative,1,"2,931","45,220",6.48
Metropolis City of,Publicly Owned,9,"1,402","21,691",6.46
MidAmerican Energy Co,Investor-Owned,93,"26,558","651,958",4.07
Mt Carmel Public Utility Co,Investor-Owned,110,"4,379","77,928",5.62
Naperville City of,Publicly Owned,17,"8,583","218,274",3.93
Norris Electric Cooperative,Cooperative,433,"4,350","66,553",6.54
Oglesby City of,Publicly Owned,20,"3,956","85,412",4.63
Peru City of,Publicly Owned,51,"6,118","110,617",5.53
Princeton City of,Publicly Owned,85,"4,075","65,113",6.26
Rantoul Village of,Publicly Owned,73,"5,623","111,256",5.05
Red Bud City of,Publicly Owned,6,259,"5,763",4.49
Rochelle Municipal Utilities,Publicly Owned,20,"5,239","86,196",6.08
Rock Falls City of,Publicly Owned,49,"1,688","26,652",6.33
Roodhouse City of,Publicly Owned,6,222,"2,354",9.43
Rural Electric Conven Coop,Cooperative,2,258,"3,637",7.09
"Shelby Electric Coop, Inc",Cooperative,6,"4,232","75,141",5.63
South Beloit Wtr Gas & Elec Co,Investor-Owned,43,"3,924","89,145",4.40
"Southeastern IL Elec Coop, Inc",Cooperative,183,"16,398","323,326",5.07
Southern Illinois Elec Coop,Cooperative,2,873,"14,824",5.89
Southwestern Electric Coop Inc,Cooperative,5,"2,033","25,907",7.85
"Spoon River Electric Coop, Inc",Cooperative,15,322,"3,176",10.14
Springfield City of,Publicly Owned,1,289,"4,644",6.22
St Charles City of,Publicly Owned,44,"11,337","230,883",4.91
Sullivan City of,Publicly Owned,3,"1,037","21,170",4.90
"Tri-County Electric Coop, Inc",Cooperative,29,"4,261","71,536",5.96
Union Electric Co,Investor-Owned,277,"56,558","1,922,387",2.94
Waterloo City of,Publicly Owned,134,"2,268","26,957",8.41
Wayne-White Counties Elec Coop,Cooperative,198,"4,437","87,076",5.10
 State Total,,"4,905","1,386,756","29,198,556",4.75
Indiana,,,,,
AGC Division of APG Inc,Investor-Owned,1,"91,138","4,451,353",2.05
Anderson City of,Publicly Owned,66,"3,266","71,856",4.55
Argos Town of,Publicly Owned,4,322,"6,748",4.77
Auburn City of,Publicly Owned,104,"19,594","444,195",4.41
Avilla Town of,Publicly Owned,15,"1,246","25,097",4.96
Bartholomew County Rural E M C,Cooperative,12,"5,966","130,492",4.57
Bluffton City of,Publicly Owned,34,"5,857","130,927",4.47
Boone County Rural EMC,Cooperative,1,622,"11,706",5.31
Bremen Electric Light & Power Co,Publicly Owned,30,"3,193","87,130",3.66
Brookston Town of,Publicly Owned,18,129,"2,339",5.52
Cannelton Utilities,Publicly Owned,7,391,"6,786",5.76
Carroll County REMC,Cooperative,2,"2,276","46,442",4.90
Coatesville Town of,Publicly Owned,8,11,130,8.46
Columbia City City of,Publicly Owned,40,"2,580","49,057",5.26
Covington City of,Publicly Owned,22,429,"7,321",5.86
"Crawfordsville Elec, Lgt & Pwr",Publicly Owned,91,"11,843","270,099",4.38
Daviess Martin County R E M C,Cooperative,37,"7,496","207,041",3.62
Decatur County Rural E M C,Cooperative,8,"6,089","143,963",4.23
Dubois Rural Electric Coop Inc,Cooperative,56,"3,518","61,463",5.72
Edinburg Municipal Utilities,Publicly Owned,87,"3,039","63,404",4.79
Etna Green Town of,Publicly Owned,3,105,"1,094",9.60
Ferdinand Town of,Publicly Owned,47,"1,318","26,236",5.02
Flora Utilities,Publicly Owned,14,323,"5,561",5.81
Frankfort City of,Publicly Owned,73,"7,528","216,061",3.48
Frankton Town of,Publicly Owned,2,28,558,5.02
Garrett City of,Publicly Owned,46,"2,647","43,953",6.02
Greendale City of,Publicly Owned,20,"1,124","61,884",1.82
Greenfield City of,Publicly Owned,17,"4,903","124,274",3.95
Hancock County Rural E M C,Cooperative,7,629,"9,270",6.79
Harrison County Rural E M C,Cooperative,9,"4,966","117,106",4.24
Hendricks County Rural E M C,Cooperative,51,"3,653","65,147",5.61
Huntingburg City of,Publicly Owned,47,"2,021","33,607",6.01
Indiana Michigan Power Co,Investor-Owned,"4,239","281,239","7,118,111",3.95
Indianapolis Power & Light Co,Investor-Owned,"4,337","335,436","7,417,297",4.52
Jackson County Rural E M C,Cooperative,15,"1,482","29,438",5.03
Jasper City of,Publicly Owned,108,"7,144","149,707",4.77
Johnson County Rural E M C,Cooperative,4,966,"17,950",5.38
Kankakee Valley Rural E M C,Cooperative,6,"1,094","15,977",6.85
Knightstown Town of,Publicly Owned,36,285,"5,396",5.28
Ladoga Town of,Publicly Owned,88,129,"2,214",5.83
Lagrange County Rural E M C,Cooperative,5,"1,635","19,457",8.40
Lawrenceburg Municipal Utils,Publicly Owned,70,"3,263","75,135",4.34
Lebanon City of,Publicly Owned,287,"5,004","36,245",13.81
Logansport City of,Publicly Owned,73,"9,482","206,471",4.59
Marshall County Rural E M C,Cooperative,396,"1,406","17,118",8.21
Miami-Cass County Rural E M C,Cooperative,6,"1,447","27,820",5.20
Montezuma Town of,Publicly Owned,2,384,"5,529",6.95
Newton County Rural E M C,Cooperative,32,719,"10,223",7.03
Northeastern Rural E M C,Cooperative,9,"10,170","217,084",4.68
Northern Indiana Pub Serv Co,Investor-Owned,"2,612","393,558","8,822,406",4.46
Orange County Rural E M C,Cooperative,4,589,"2,605",22.61
Paoli Town of,Publicly Owned,42,828,"1,500",55.20
Parke County Rural E M C,Cooperative,9,"1,135","19,287",5.88
"Paulding-Putman Elec Coop, Inc",Cooperative,1,666,"16,671",3.99
Pendleton Town of,Publicly Owned,2,411,"8,864",4.64
Peru City of,Publicly Owned,123,"5,900","123,764",4.77
PSI Energy Inc,Investor-Owned,"3,556","430,575","11,587,870",3.72
Rensselaer City of,Publicly Owned,27,"2,896","63,284",4.58
Richmond City of,Publicly Owned,187,"23,654","635,391",3.72
Rising Sun City of,Publicly Owned,9,52,656,7.93
RushShelby Energy,Cooperative,11,"3,631","79,000",4.60
Scottsburg City of,Publicly Owned,168,"7,056","129,679",5.44
South Central Indiana REMC,Cooperative,2,551,"10,682",5.16
South Whitley Town of,Publicly Owned,11,402,"7,459",5.39
Southeastern Indiana R E M C,Cooperative,83,"3,920","65,861",5.95
Southern Indiana Gas & Elec Co,Investor-Owned,175,"90,993","2,516,335",3.62
"Southern Indiana R E C, Inc",Cooperative,16,"11,958","290,130",4.12
Steuben County Rural E M C,Cooperative,7,"1,666","35,397",4.71
Tell City City of,Publicly Owned,13,"4,285","108,092",3.96
Thorntown City of,Publicly Owned,13,186,"3,081",6.04
Tipmont Rural Elec Member Corp,Cooperative,2,555,"11,158",4.97
Tipton Municipal Electric Util,Publicly Owned,12,691,"13,908",4.97
Troy City of,Publicly Owned,7,342,"4,987",6.86
United Rural Elec Member Corp,Cooperative,11,"9,296","210,647",4.41
Utilities Dist-Western IN REMC,Cooperative,19,"1,988","30,665",6.48
Veedersburg Town of,Publicly Owned,27,"1,706","40,206",4.24
Wabash County Rural E M C,Cooperative,5,"2,299","44,255",5.19
Walkerton Town of,Publicly Owned,26,"1,068","18,878",5.66
Warren Town of,Publicly Owned,3,30,356,8.43
Washington City of,Publicly Owned,1,771,"21,036",3.67
Waynetown City of,Publicly Owned,5,9,151,5.96
Western Indiana Energy REMC,Cooperative,21,"9,661","188,352",5.13
White County Rural E M C,Cooperative,49,"2,425","39,134",6.20
Whitewater Valley Rural EMC,Cooperative,1,251,"5,713",4.39
Winamac Town of,Publicly Owned,8,"1,081","30,300",3.57
 State Total,,"17,960","1,876,620","47,481,232",3.95
Iowa,,,,,
Access Energy Cooperative,Cooperative,13,"2,169","45,572",4.76
Alta City of,Publicly Owned,8,86,"1,620",5.31
Amana Society Service Co,Investor-Owned,1,"3,700","69,736",5.31
Ames City of,Publicly Owned,6,"5,080","127,960",3.97
Anthon City of,Publicly Owned,16,68,"1,168",5.82
Atlantic Municipal Utilities,Publicly Owned,1,437,"13,775",3.17
Aurelia City of,Publicly Owned,18,135,"2,000",6.75
Bancroft Municipal Utilities,Publicly Owned,11,255,"3,919",6.51
Bellevue City of,Publicly Owned,19,321,"4,642",6.92
Bloomfield City of,Publicly Owned,17,517,"7,676",6.74
Board of Water Electric & Communications,Publicly Owned,12,"23,186","554,931",4.18
Breda City of,Publicly Owned,8,20,426,4.69
Butler County Rural Elec Coop,Cooperative,3,302,"6,520",4.63
Cedar Falls Utilities,Publicly Owned,42,"2,280","56,720",4.02
"Chariton Valley Elec Coop, Inc",Cooperative,1,106,"1,853",5.72
Coggon City of,Publicly Owned,8,66,782,8.44
Consumers Energy,Cooperative,1,234,"3,998",5.85
Coon Rapids City of,Publicly Owned,1,279,"2,904",9.61
Dayton City of,Publicly Owned,1,14,165,8.48
Denison City of,Publicly Owned,5,"2,230","59,246",3.76
Denver City of,Publicly Owned,5,40,716,5.59
Durant City of,Publicly Owned,24,289,"3,908",7.40
East-Central Iowa Rural Elec Coop,Cooperative,3,551,"9,215",5.98
Eastern Iowa Light & Power Coop,Cooperative,11,"28,360","906,201",3.13
Eldridge City Utilities,Publicly Owned,9,385,"6,324",6.09
Ellsworth City of,Publicly Owned,1,93,957,9.72
Estherville City of,Publicly Owned,34,"1,346","22,220",6.06
"Farmers Electric Coop, Inc",Cooperative,3,"2,201","48,424",4.55
Fonda City of,Publicly Owned,1,47,465,10.11
Forest City City of,Publicly Owned,11,"2,025","44,790",4.52
Franklin Rural Electric Cooperative,Cooperative,2,425,"10,835",3.92
Fredericksburg City of,Publicly Owned,1,909,"18,477",4.92
Glidden City of,Publicly Owned,10,88,"1,328",6.63
Graettinger City of,Publicly Owned,13,126,"2,184",5.77
Grand Junction City of,Publicly Owned,7,73,561,13.01
Greenfield City of,Publicly Owned,2,"1,034","19,103",5.41
Grundy Center Mun Light & Power,Publicly Owned,1,280,"4,889",5.73
Grundy County Rural Elec Coop,Cooperative,2,"1,772","57,552",3.08
Guthrie County Rural E C A,Cooperative,5,651,"11,984",5.43
Guttenberg City of,Publicly Owned,19,319,"4,500",7.09
Harlan City of,Publicly Owned,14,217,"3,784",5.73
Hartley City of,Publicly Owned,18,495,"9,566",5.17
Hawarden City of,Publicly Owned,12,343,"6,702",5.12
Hawkeye Tri-County El Coop Inc,Cooperative,1,117,"2,607",4.49
Hinton City of,Publicly Owned,7,156,"2,231",6.99
Hopkinton City of,Publicly Owned,2,38,470,8.09
Hudson City of,Publicly Owned,1,12,173,6.94
Humboldt County R E C,Cooperative,1,367,"8,960",4.10
Independence City of,Publicly Owned,38,"2,318","34,955",6.63
Indianola Municipal Utilities,Publicly Owned,3,404,"7,001",5.77
Interstate Power and Light Co,Investor-Owned,"1,571","287,894","7,316,726",3.93
Iowa Lakes Electric Coop,Cooperative,14,"3,288","65,089",5.05
Keosauqua Municipal Light & Pwr,Publicly Owned,13,276,"3,339",8.27
Lake Mills City of,Publicly Owned,22,"1,037","20,890",4.96
Lake Park City of,Publicly Owned,10,247,"5,526",4.47
Lake View City of,Publicly Owned,29,209,"3,815",5.48
Lamoni City of,Publicly Owned,8,14,182,7.69
Laurens City of,Publicly Owned,43,373,"9,546",3.91
Linn County Rural E C A,Cooperative,86,"5,426","89,094",6.09
Manning City of,Publicly Owned,19,912,"22,411",4.07
Mapleton City of,Publicly Owned,54,229,"4,215",5.43
Maquoketa City of,Publicly Owned,11,"1,105","17,300",6.39
Maquoketa Valley Rrl Elec Coop,Cooperative,2,556,"9,585",5.80
McGregor City of,Publicly Owned,7,126,"2,086",6.04
MidAmerican Energy Co,Investor-Owned,"1,087","244,716","5,995,047",4.08
Midland Power Cooperative,Cooperative,7,"1,968","29,144",6.75
Milford City of,Publicly Owned,18,612,"12,183",5.02
Montezuma City of,Publicly Owned,1,593,"9,303",6.37
New Hampton City of,Publicly Owned,26,"1,173","25,724",4.56
Nishnabotna Valley R E C,Cooperative,7,"1,281","34,182",3.75
North West Rural Electric Coop,Cooperative,2,150,"2,915",5.15
Ogden City of,Publicly Owned,35,30,"2,193",1.37
Orange City City of,Publicly Owned,56,"2,474","50,519",4.90
"Osceola Electric Coop, Inc",Cooperative,2,453,"10,392",4.36
Pella City of,Publicly Owned,34,"6,777","116,462",5.82
Pella Cooperative Elec Assn,Cooperative,5,607,"9,289",6.53
Pocahontas City of,Publicly Owned,19,199,"3,000",6.63
Prairie Energy Cooperative,Cooperative,11,"5,465","111,865",4.89
Readlyn City of,Publicly Owned,5,39,510,7.65
Remsen City of,Publicly Owned,46,187,"3,358",5.57
Rock Rapids Municipal Utility,Publicly Owned,10,157,"2,586",6.07
Rockford City of,Publicly Owned,3,21,316,6.65
Sac County Rural Electric Coop,Cooperative,10,2,9,22.22
Sanborn City of,Publicly Owned,4,355,"7,713",4.60
Sergeant Bluff City of,Publicly Owned,2,478,"15,628",3.06
Sibley City of,Publicly Owned,3,455,"10,809",4.21
Sioux Center City of,Publicly Owned,124,"1,890","41,029",4.61
"Southern Iowa Elec Coop, Inc",Cooperative,2,347,"7,412",4.68
Stanton City of,Publicly Owned,1,10,135,7.41
State Center City of,Publicly Owned,5,93,"1,190",7.82
Story City City of,Publicly Owned,48,"1,632","29,103",5.61
Tipton City of,Publicly Owned,5,282,"5,126",5.50
Traer City of,Publicly Owned,1,370,"5,262",7.03
Vinton City of,Publicly Owned,19,364,"8,037",4.53
Waverly Municipal Elec Utility,Publicly Owned,5,"2,586","49,027",5.27
Webster City City of,Publicly Owned,16,"3,850","86,273",4.46
West Bend City of,Publicly Owned,9,230,"3,306",6.96
West Liberty City of,Publicly Owned,7,"1,636","32,443",5.04
West Point Utility System,Publicly Owned,6,34,403,8.44
Western Iowa Power Coop,Cooperative,4,"1,150","22,546",5.10
Whittemore City of,Publicly Owned,2,38,815,4.66
Wilton City of,Publicly Owned,9,386,"6,803",5.67
Winterset City of,Publicly Owned,7,561,"8,971",6.25
 State Total,,"4,005","672,309","16,547,527",4.06
Kansas,,,,,
Alma City of,Publicly Owned,4,174,"2,295",7.58
Aquila Inc,Investor-Owned,81,"31,808","760,050",4.18
"Ark Valley Elec Coop Assn, Inc",Cooperative,19,"1,622","19,243",8.43
Arma City of,Publicly Owned,5,11,800,1.38
Attica City of,Publicly Owned,7,40,412,9.71
Beloit City of,Publicly Owned,21,607,"13,792",4.40
"Bluestem Electric Coop, Inc",Cooperative,37,804,"12,567",6.40
Burlington City of,Publicly Owned,1,40,676,5.92
"Butler Rural El Coop Assn, Inc",Cooperative,1,172,"4,371",3.94
"Caney Valley El Coop Assn, Inc",Cooperative,1,45,388,11.60
Chanute City of,Publicly Owned,95,"6,074","160,060",3.79
Cimarron City of,Publicly Owned,8,740,"4,912",15.07
Clay Center City of,Publicly Owned,164,889,"13,562",6.56
"CMS Electric Cooperative, Inc",Cooperative,"2,065","1,081","9,468",11.42
Coffeyville City of,Publicly Owned,8,"18,895","543,309",3.48
Colby City of,Publicly Owned,75,"1,467","23,632",6.21
"D S & O Rural E C A, Inc",Cooperative,2,342,"5,320",6.43
Elwood City of,Publicly Owned,1,38,673,5.65
Empire District Electric Co,Investor-Owned,47,"3,740","77,538",4.82
Enterprise City of,Publicly Owned,2,33,667,4.95
Erie City of,Publicly Owned,1,3,42,7.14
Eudora City of,Publicly Owned,6,308,"5,046",6.10
Garden City City of,Publicly Owned,551,"6,210","90,120",6.89
Gardner City of,Publicly Owned,7,666,"10,612",6.28
Garnett City of,Publicly Owned,35,641,"7,908",8.11
Girard City of,Publicly Owned,28,787,"11,687",6.73
Goodland City of,Publicly Owned,51,"1,544","17,973",8.59
Hoisington City of,Publicly Owned,12,200,"1,208",16.56
Holton City of,Publicly Owned,15,283,"6,328",4.47
Horton City of,Publicly Owned,2,58,654,8.87
Iola City of,Publicly Owned,4,"1,856","50,558",3.67
Johnson City of,Publicly Owned,4,191,"2,704",7.06
Kansas City City of,Publicly Owned,116,"33,965","822,335",4.13
Kansas City Power & Light Co,Investor-Owned,"1,078","20,488","374,782",5.47
Kansas Gas & Electric Co,Investor-Owned,"3,385","152,915","3,396,771",4.50
"Kaw Valley Electric Cooperative, Inc",Cooperative,19,"1,177","18,519",6.36
Kingman City of,Publicly Owned,15,"1,615","21,352",7.56
Kiowa City of,Publicly Owned,18,190,"2,299",8.26
La Crosse City of,Publicly Owned,12,227,"2,673",8.49
Larned City of,Publicly Owned,13,178,"2,242",7.94
Lincoln Center City of,Publicly Owned,7,278,"3,658",7.60
Lucas City of,Publicly Owned,2,86,"1,090",7.89
"Lyon-Coffey Electric Coop, Inc",Cooperative,2,239,"2,992",7.99
Mankato City of,Publicly Owned,3,90,"1,580",5.70
Marion City of,Publicly Owned,2,45,482,9.34
McPherson City of,Publicly Owned,14,"14,204","482,737",2.94
Meade City of,Publicly Owned,20,457,"3,971",11.51
Midwest Energy Inc,Cooperative,"2,072","9,861","146,997",6.71
Minneapolis City of,Publicly Owned,13,71,"1,014",7.00
Morrill City of,Publicly Owned,12,7,80,8.75
Moundridge City of,Publicly Owned,32,484,"9,106",5.32
Neodesha City of,Publicly Owned,54,"1,650","21,460",7.69
Norton City of,Publicly Owned,1,120,"1,663",7.22
Oakley City of,Publicly Owned,4,262,"4,344",6.03
Osage City City of,Publicly Owned,3,49,611,8.02
Osawatomie City of,Publicly Owned,2,14,145,9.66
Osborne City of,Publicly Owned,40,447,"6,075",7.36
Ottawa City of,Publicly Owned,117,"3,529","51,131",6.90
Oxford City of,Publicly Owned,25,191,"2,301",8.30
"Pioneer Electric Coop, Inc",Cooperative,16,"15,886","344,720",4.61
Pratt City of,Publicly Owned,52,536,"9,204",5.82
Rolling Hills Electric Coop,Power Marketer,492,672,"5,704",11.78
Russell City of,Publicly Owned,26,"2,177","45,322",4.80
Sabetha City of,Publicly Owned,79,"1,540","24,632",6.25
Sedgwick Cnty El Coop Assn Inc,Cooperative,1,138,"2,630",5.25
Seneca City of,Publicly Owned,50,577,"8,413",6.86
Sharon Springs City of,Publicly Owned,17,91,790,11.52
Stockton City of,Publicly Owned,29,79,911,8.67
"The Ninnescah Rural E C A, Inc",Cooperative,1,618,"11,750",5.26
Wamego City of,Publicly Owned,19,564,"9,752",5.78
Wellington City of,Publicly Owned,25,"2,631","39,624",6.64
"Westar Energy, Inc.",Investor-Owned,"1,485","89,933","2,053,967",4.38
"Wheatland Electric Coop, Inc",Cooperative,43,"13,108","221,274",5.92
Winfield City of,Publicly Owned,109,"9,038","175,805",5.14
 State Total,,"12,885","461,796","10,195,483",4.53
Kentucky,,,,,
Barbourville Utility Comm,Publicly Owned,161,"1,948","46,351",4.20
Bardstown City of,Publicly Owned,12,"3,354","80,352",4.17
Benton City of,Publicly Owned,2,711,"12,453",5.71
Berea College,Investor-Owned,53,"2,552","57,821",4.41
Big Sandy Rural Elec Coop Corp,Cooperative,2,739,"16,560",4.46
Blue Grass Energy Coop Corp,Cooperative,16,"10,025","264,838",3.79
Bowling Green City of,Publicly Owned,15,"9,943","199,126",4.99
"Clark Energy Cooperative, Inc",Cooperative,1,596,"10,726",5.56
Corbin City Utilities Comm,Publicly Owned,52,70,"19,799",0.35
Cumberland Valley Rural E C C,Cooperative,97,"6,632","138,369",4.79
Electric Energy Inc,Investor-Owned,1,"85,193","3,775,525",2.26
Falmouth City of,Publicly Owned,1,35,336,10.42
Farmers Rural Electric Cooperative Corp,Cooperative,5,"5,026","113,598",4.42
Fleming-Mason Energy Coop Inc,Cooperative,5,"16,274","492,972",3.30
Frankfort City of,Publicly Owned,276,"15,612","429,692",3.63
Franklin City of,Publicly Owned,7,"6,379","149,534",4.27
Fulton City of,Publicly Owned,4,"1,830","35,905",5.10
Glasgow City of,Publicly Owned,10,"7,671","166,514",4.61
Grayson Rural Electric Cooperative Corp,Cooperative,1,743,"18,408",4.04
Henderson City Utility Comm,Publicly Owned,16,"7,682","268,828",2.86
Hickman-Fulton Counties RECC,Cooperative,2,"2,114","43,287",4.88
Hopkinsville City of,Publicly Owned,4,"3,575","95,915",3.73
Inter County Energy Coop Corp,Cooperative,3,"1,102","26,784",4.11
Jackson Energy Coop Corp,Cooperative,8,"3,558","81,077",4.39
Jackson Purchase Energy CC,Cooperative,12,"3,654","88,839",4.11
Kenergy Corp,Cooperative,28,"227,563","8,319,315",2.74
Kentucky Power Co,Investor-Owned,"1,501","96,717","3,154,026",3.07
Kentucky Utilities Co,Investor-Owned,"2,015","182,544","5,504,635",3.32
Licking Valley Rural E C C,Cooperative,4,677,"13,499",5.02
Louisville Gas & Electric Co,Investor-Owned,407,"111,988","3,028,490",3.70
Mayfield Plant Board City of,Publicly Owned,3,"1,027","17,374",5.91
Monticello City of,Publicly Owned,2,930,"20,583",4.52
Murray City of,Publicly Owned,7,"6,921","132,564",5.22
Nicholasville City of,Publicly Owned,5,"2,508","79,286",3.16
Nolin Rural Electric Coop Corp,Cooperative,2,"5,090","153,207",3.32
"Owen Electric Cooperative, Inc",Cooperative,28,"39,781","1,118,994",3.56
Owensboro City of,Publicly Owned,543,"20,866","506,711",4.12
Paducah City of,Publicly Owned,8,"4,168","76,613",5.44
Paris City of,Publicly Owned,20,310,"7,500",4.13
Pennyrile Rural Elec Coop Corp,Cooperative,33,"15,236","275,332",5.53
Princeton City of,Publicly Owned,3,"1,675","27,806",6.02
Russellville City of,Publicly Owned,5,"2,623","49,326",5.32
Salt River Electric Coop Corp,Cooperative,5,"3,071","79,382",3.87
"Shelby Energy Co-op, Inc",Cooperative,8,"6,412","165,004",3.89
South Kentucky Rural E C C,Cooperative,363,"13,235","254,651",5.20
Taylor County Rural E C C,Cooperative,9,"3,440","94,272",3.65
Tennessee Valley Authority,Federal,17,"327,771","12,468,308",2.63
"The Union Light, Heat & Power Co",Investor-Owned,392,"38,917","769,141",5.06
Tri-County Elec Member Corp,Cooperative,8,"7,422","136,950",5.42
Vanceburg City of,Publicly Owned,3,89,"1,613",5.52
Warren Rural Elec Coop Corp,Cooperative,43,"24,908","480,171",5.19
West Kentucky Rural E C C,Cooperative,8,"8,909","217,956",4.09
Williamstown Utility Comm,Publicly Owned,10,804,"26,059",3.09
 State Total,,"6,246","1,352,620","43,812,377",3.09
Louisiana,,,,,
Abbeville City of,Publicly Owned,19,"2,460","39,236",6.27
"Claiborne Electric Coop, Inc",Cooperative,6,"6,867","139,087",4.94
Cleco Power LLC,Investor-Owned,730,"128,296","2,756,212",4.65
"Concordia Electric Coop, Inc",Cooperative,4,"1,097","7,128",15.39
Dixie Electric Membership Corp,Cooperative,297,"10,119","178,199",5.68
Entergy Gulf States Inc,Investor-Owned,"3,694","424,026","9,714,398",4.36
Entergy Louisiana Inc,Investor-Owned,"7,034","636,410","14,737,545",4.32
Entergy New Orleans Inc,Investor-Owned,"1,103","24,657","409,152",6.03
Gueydan Town of,Publicly Owned,31,273,"3,019",9.04
"Jefferson Davis Elec Coop, Inc",Cooperative,5,"1,829","26,609",6.87
Kaplan City of,Publicly Owned,23,683,"7,664",8.91
Minden City of,Publicly Owned,29,"2,259","33,081",6.83
Natchitoches City of,Publicly Owned,4,"4,703","91,645",5.13
New Roads City of,Publicly Owned,1,8,100,8.00
Northeast Louisiana Power Coop Inc.,Cooperative,47,"1,429","18,349",7.79
"Panola-Harrison Elec Coop, Inc",Cooperative,3,372,"7,677",4.85
Plaquemine City of,Publicly Owned,198,"2,094","29,450",7.11
Pointe Coupee Elec Member Corp,Cooperative,7,"3,711","80,582",4.61
Rayne City of,Publicly Owned,7,235,"4,048",5.81
Ruston City of,Publicly Owned,55,710,"29,107",2.44
South Louisiana Elec Coop Assn,Cooperative,10,"2,512","43,000",5.84
Southwest Louisiana E M C,Cooperative,15,"6,777","135,232",5.01
Southwestern Electric Power Co,Investor-Owned,"1,955","42,998","1,077,504",3.99
St Martinville City of,Publicly Owned,133,"1,886","19,401",9.72
Valley Electric Member Corp,Cooperative,1,665,"14,000",4.75
Vidalia Town of,Publicly Owned,3,"1,300","28,757",4.52
"Washington-St Tammany E C, Inc",Cooperative,4,"1,399","22,447",6.23
Welsh Town of,Publicly Owned,11,145,"5,695",2.55
Winnfield City of,Publicly Owned,6,277,"3,385",8.18
 State Total,,"15,435","1,310,197","29,661,709",4.42
Maine,,,,,
Bangor Hydro-Electric Co,Investor-Owned,39,"6,797","113,387",5.99
Central Maine Power Co,Investor-Owned,104,"3,999","40,567",9.86
Eastern Maine Electric Coop,Cooperative,1,"1,639","31,156",5.26
Kennebunk Light & Power Dist,Publicly Owned,10,"1,551","27,450",5.65
Madison Town of,Publicly Owned,19,"15,916","234,789",6.78
Van Buren Light & Power Dist,Publicly Owned,16,226,"3,811",5.93
 State Total,,189,"30,128","451,160",6.68
Maryland,,,,,
Baltimore Gas & Electric Co,Investor-Owned,"4,973","382,041","11,234,480",3.40
Berlin Town of,Publicly Owned,56,"1,956","24,000",8.15
"Choptank Electric Coop, Inc",Cooperative,14,"4,397","74,215",5.92
Delmarva Power & Light Company,Investor-Owned,268,"25,587","421,952",6.06
Hagerstown City of,Publicly Owned,138,"4,895","131,683",3.72
Potomac Electric Power Co,Investor-Owned,1,432,"9,736",4.44
The Potomac Edison Co,Investor-Owned,"2,644","150,881","4,433,959",3.40
Thurmont Municipal Light Co,Publicly Owned,11,503,"17,071",2.95
Williamsport Town of,Publicly Owned,33,339,"6,315",5.37
 State Total,,"8,138","571,031","16,353,411",3.49
Massachusetts,,,,,
Ashburnham Town of,Publicly Owned,41,854,"10,003",8.54
Boston Edison Co,Investor-Owned,"1,210","89,671","783,552",11.44
Boylston Town of,Publicly Owned,22,695,"6,486",10.72
Braintree Town of,Publicly Owned,10,"2,461","29,456",8.35
Cambridge Electric Light Co,Investor-Owned,19,"3,712","50,686",7.32
Chester Town of,Publicly Owned,1,6,90,6.67
Chicopee City of,Publicly Owned,37,"7,208","103,308",6.98
Commonwealth Electric Co,Investor-Owned,160,"15,620","150,759",10.36
Concord Town of,Publicly Owned,28,"4,586","62,718",7.31
Danvers Town of,Publicly Owned,299,"19,073","187,916",10.15
Fitchburg Gas & Elec Light Co,Investor-Owned,38,"14,962","213,938",6.99
Georgetown Town of,Publicly Owned,37,"1,288","13,245",9.72
Groton Town of,Publicly Owned,3,"1,096","9,575",11.45
Groveland Town of,Publicly Owned,20,680,"8,719",7.80
Hingham City of,Publicly Owned,48,"3,734","35,362",10.56
Holden Town of,Publicly Owned,24,"3,126","33,794",9.25
Holyoke City of,Publicly Owned,97,"6,043","85,870",7.04
Hudson Town of,Publicly Owned,181,"19,467","251,144",7.75
Ipswich Town of,Publicly Owned,134,"3,535","32,100",11.01
Littleton Town of,Publicly Owned,73,"11,929","131,000",9.11
Mansfield Town of,Publicly Owned,247,"11,829","108,276",10.92
Marblehead City of,Publicly Owned,73,"1,353","14,262",9.49
Massachusetts Electric Co,Investor-Owned,"4,649","195,849","2,532,104",7.73
Merrimac Town of,Publicly Owned,37,419,"3,564",11.76
Middleborough Town of,Publicly Owned,25,"3,247","37,845",8.58
Middleton Town of,Publicly Owned,19,"5,334","60,236",8.86
North Attleborough Town of,Publicly Owned,133,"9,891","106,558",9.28
Norwood City of,Publicly Owned,78,"10,281","137,486",7.48
Paxton Town of,Publicly Owned,23,403,"4,504",8.95
Peabody City of,Publicly Owned,"1,356","24,539","259,853",9.44
Reading Town of,Publicly Owned,"2,636","38,201","428,772",8.91
Rowley Town of,Publicly Owned,8,471,"5,491",8.58
Shrewsbury Town of,Publicly Owned,67,"8,934","122,211",7.31
South Hadley Town of,Publicly Owned,14,"4,865","53,534",9.09
Sterling Town of,Publicly Owned,131,"1,662","20,168",8.24
