"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                 Average Revenue per Kilowatthour for the Residential Sector by State,,,,,
"                 Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Hinton City of,Publicly Owned,270,211,"3,552",5.94
Hopkinton City of,Publicly Owned,320,162,"2,518",6.43
Hudson City of,Publicly Owned,719,525,"6,533",8.04
Humboldt County R E C,Cooperative,"1,773","2,476","31,676",7.82
Independence City of,Publicly Owned,"2,735","1,806","21,968",8.22
Indianola Municipal Utilities,Publicly Owned,"4,800","2,797","45,471",6.15
Interstate Power and Light Co,Investor-Owned,"397,813","320,932","3,787,754",8.47
Iowa Lakes Electric Coop,Cooperative,"10,449","13,576","174,657",7.77
Keosauqua Municipal Light & Pwr,Publicly Owned,492,331,"4,435",7.46
Kimballton City of,Publicly Owned,160,109,"1,806",6.04
La Porte City Utilities,Publicly Owned,990,601,"9,325",6.45
Lake Mills City of,Publicly Owned,"1,022",549,"8,540",6.43
Lake Park City of,Publicly Owned,471,294,"4,389",6.70
Lake View City of,Publicly Owned,900,433,"7,771",5.57
Lamoni City of,Publicly Owned,956,650,"8,353",7.78
Larchwood City of,Publicly Owned,359,255,"3,662",6.96
Laurens City of,Publicly Owned,712,382,"11,003",3.47
Lawler City of,Publicly Owned,240,134,"1,839",7.29
Lehigh City of,Publicly Owned,257,149,"1,627",9.16
Lenox City of,Publicly Owned,594,446,"7,387",6.04
Linn County Rural E C A,Cooperative,"15,623","17,402","176,451",9.86
Livermore City of,Publicly Owned,199,179,"1,940",9.23
Long Grove City of,Publicly Owned,213,146,"2,215",6.59
Lyon Rural Electric Coop,Cooperative,"1,851","2,833","43,288",6.54
Manilla Town of,Publicly Owned,386,229,"4,500",5.09
Manning City of,Publicly Owned,724,477,"7,359",6.48
Mapleton City of,Publicly Owned,725,428,"6,533",6.55
Maquoketa City of,Publicly Owned,"2,821","1,891","24,466",7.73
Maquoketa Valley Rrl Elec Coop,Cooperative,"12,948","17,523","205,640",8.52
Marathon City of,Publicly Owned,164,94,"1,282",7.33
McGregor City of,Publicly Owned,476,220,"3,070",7.17
MidAmerican Energy Co,Investor-Owned,"506,206","412,450","4,759,645",8.67
Midland Power Cooperative,Cooperative,"8,257","12,367","133,611",9.26
Milford City of,Publicly Owned,"1,186",749,"13,982",5.36
Montezuma City of,Publicly Owned,692,477,"7,020",6.79
Mt Pleasant City of,Publicly Owned,"3,106","2,069","26,304",7.87
Neola City of,Publicly Owned,366,210,"3,186",6.59
New Hampton City of,Publicly Owned,"1,749",818,"13,948",5.86
New London Municipal Utilities,Publicly Owned,"1,128",875,"9,522",9.19
Nishnabotna Valley R E C,Cooperative,"3,487","4,150","58,692",7.07
Nobles Cooperative Electric,Cooperative,9,11,145,7.59
North West Rural Electric Coop,Cooperative,"8,487","11,916","212,123",5.62
Ogden City of,Publicly Owned,950,707,"8,136",8.69
Onawa City of,Publicly Owned,"1,349",851,"15,278",5.57
Orange City City of,Publicly Owned,"1,740","1,312","20,608",6.37
Orient City of,Publicly Owned,240,180,"1,899",9.48
Osage City of,Publicly Owned,"1,753",840,"14,192",5.92
"Osceola Electric Coop, Inc",Cooperative,"1,085","1,418","24,391",5.81
Panora City of,Publicly Owned,565,450,"6,000",7.50
Paton City of,Publicly Owned,117,115,"1,225",9.39
Paullina City of,Publicly Owned,554,269,"5,047",5.33
Pella City of,Publicly Owned,"3,865","3,241","36,399",8.90
Pella Cooperative Elec Assn,Cooperative,"2,622","3,244","32,675",9.93
Pocahontas City of,Publicly Owned,856,471,"7,000",6.73
Prairie Energy Cooperative,Cooperative,"3,824","5,082","58,488",8.69
Preston City of,Publicly Owned,429,318,"3,832",8.30
Primghar City of,Publicly Owned,471,423,"4,919",8.60
Readlyn City of,Publicly Owned,348,209,"3,206",6.52
Remsen City of,Publicly Owned,692,404,"7,960",5.08
Renwick City of,Publicly Owned,149,130,"1,800",7.22
"Rideta Electric Coop, Inc",Cooperative,"2,594","3,264","28,612",11.41
Rock Rapids Municipal Utility,Publicly Owned,"1,058",676,"12,206",5.54
Rockford City of,Publicly Owned,410,214,"3,025",7.07
Sabula City of,Publicly Owned,416,190,"2,554",7.44
Sac County Rural Electric Coop,Cooperative,945,"1,540","16,132",9.55
Sanborn City of,Publicly Owned,559,414,"6,257",6.62
Sergeant Bluff City of,Publicly Owned,"1,300",795,"13,584",5.85
Shelby City of,Publicly Owned,271,160,"2,940",5.44
Sibley City of,Publicly Owned,"1,345",988,"18,578",5.32
Sioux Center City of,Publicly Owned,"1,779","1,257","21,150",5.94
"Southern Iowa Elec Coop, Inc",Cooperative,"4,521","4,439","52,891",8.39
Southwest Iowa Service Coop,Cooperative,"3,000","4,133","36,044",11.47
Spencer City of,Publicly Owned,"4,960","2,603","59,622",4.37
Stanhope City of,Publicly Owned,196,159,"1,651",9.63
Stanton City of,Publicly Owned,261,262,"5,055",5.18
State Center City of,Publicly Owned,643,518,"5,597",9.25
Story City City of,Publicly Owned,"1,580","1,085","14,963",7.25
Stratford City of,Publicly Owned,332,279,"2,439",11.44
Strawberry Point City of,Publicly Owned,656,372,"4,390",8.47
Stuart City of,Publicly Owned,740,514,"6,415",8.01
Sumner City of,Publicly Owned,971,611,"8,717",7.01
T I P Rural Electric Coop,Cooperative,"4,609","6,625","68,428",9.68
Tennant City of,Publicly Owned,40,29,324,8.95
Tipton City of,Publicly Owned,"1,417","1,198","11,981",10.00
Traer City of,Publicly Owned,972,682,"8,857",7.70
Tri-County Electric Coop,Cooperative,114,125,"1,368",9.14
"United Electric Coop, Inc",Cooperative,584,625,"7,242",8.63
Villisca City of,Publicly Owned,586,468,"8,014",5.84
Vinton City of,Publicly Owned,"2,228","1,267","17,814",7.11
Wall Lake City of,Publicly Owned,404,325,"6,163",5.27
Waverly Municipal Elec Utility,Publicly Owned,"3,674","2,683","32,439",8.27
Webster City City of,Publicly Owned,"3,892","2,588","32,498",7.96
West Bend City of,Publicly Owned,506,418,"6,315",6.62
West Liberty City of,Publicly Owned,"1,270",729,"11,725",6.22
West Point Utility System,Publicly Owned,590,594,"6,772",8.77
Western Iowa Power Coop,Cooperative,"4,892","5,897","77,473",7.61
Westfield Town of,Publicly Owned,78,66,674,9.79
Whittemore City of,Publicly Owned,251,168,"2,526",6.65
Wilton City of,Publicly Owned,"1,212",808,"13,350",6.05
Winterset City of,Publicly Owned,"2,019","1,378","18,701",7.37
Woodbine City of,Publicly Owned,665,425,"7,720",5.51
Woodbury County Rural E C A,Cooperative,"2,810","3,941","46,238",8.52
Woolstock City of,Publicly Owned,102,67,950,7.05
 State Total,,"1,259,526","1,078,910","12,920,571",8.35
Kansas,,,,,
"Alfalfa Electric Coop, Inc",Cooperative,249,323,"4,271",7.56
Alma City of,Publicly Owned,349,273,"3,241",8.42
Altamont City of,Publicly Owned,543,652,"8,015",8.13
Anthony City of,Publicly Owned,"1,203",784,"11,075",7.08
Aquila Inc,Investor-Owned,"52,612","39,304","489,924",8.02
Arcadia City of,Publicly Owned,210,131,"1,560",8.40
"Ark Valley Elec Coop Assn, Inc",Cooperative,"4,137","4,925","42,240",11.66
Arma City of,Publicly Owned,750,644,"5,375",11.98
Ashland City of,Publicly Owned,524,409,"4,502",9.08
Attica City of,Publicly Owned,368,298,"4,430",6.73
Augusta City of,Publicly Owned,"3,629","2,984","37,496",7.96
Axtell City of,Publicly Owned,194,117,"1,762",6.64
Baldwin City City of,Publicly Owned,"1,312","1,333","12,168",10.95
Belleville City of,Publicly Owned,"1,215","1,102","8,975",12.28
Beloit City of,Publicly Owned,"1,740","1,134","16,667",6.80
Blue Mound City of,Publicly Owned,174,212,"1,875",11.31
"Bluestem Electric Coop, Inc",Cooperative,"5,055","6,407","59,779",10.72
Bronson City of,Publicly Owned,152,141,"1,459",9.66
Burlingame City of,Publicly Owned,542,486,"5,233",9.29
Burlington City of,Publicly Owned,"1,265",929,"12,370",7.51
"Butler Rural El Coop Assn, Inc",Cooperative,"5,754","8,058","81,424",9.90
"Caney Valley El Coop Assn, Inc",Cooperative,"3,650","3,486","28,947",12.04
Cawker City City of,Publicly Owned,376,270,"3,632",7.43
Centralia City of,Publicly Owned,248,191,"1,963",9.73
Chanute City of,Publicly Owned,"4,731","3,752","46,217",8.12
Chapman City of,Publicly Owned,565,561,"6,966",8.05
Chetopa City of,Publicly Owned,647,541,"6,573",8.23
Cimarron City of,Publicly Owned,886,709,"8,778",8.08
Clay Center City of,Publicly Owned,"2,240","1,739","21,150",8.22
"CMS Electric Cooperative, Inc",Cooperative,"1,989","2,348","23,988",9.79
Coffeyville City of,Publicly Owned,"5,958","4,131","54,137",7.63
Colby City of,Publicly Owned,"2,299","1,415","19,767",7.16
"D S & O Rural E C A, Inc",Cooperative,"6,202","6,753","69,350",9.74
Dighton City of,Publicly Owned,655,524,"5,124",10.23
"Doniphan Elec Coop Assn, Inc",Cooperative,"1,527","1,213","15,400",7.88
Ellinwood City of,Publicly Owned,"1,165","1,220","12,350",9.88
Elsmore City of,Publicly Owned,56,35,378,9.26
Elwood City of,Publicly Owned,499,480,"4,922",9.75
Empire District Electric Co,Investor-Owned,"8,778","7,591","115,187",6.59
Enterprise City of,Publicly Owned,358,345,"4,359",7.91
Erie City of,Publicly Owned,542,460,"5,265",8.74
Eudora City of,Publicly Owned,"1,932","1,649","19,420",8.49
"Flint Hills Rural E C A, Inc",Cooperative,"4,234","5,087","47,502",10.71
Fredonia City of,Publicly Owned,"1,435","1,155","12,859",8.98
Galva City of,Publicly Owned,317,313,"3,768",8.31
Garden City City of,Publicly Owned,"9,712","7,213","76,863",9.38
Gardner City of,Publicly Owned,"4,120","4,013","45,742",8.77
Garnett City of,Publicly Owned,"1,503","1,305","14,034",9.30
Girard City of,Publicly Owned,"1,385","1,240","13,310",9.32
Glasco City of,Publicly Owned,352,248,"2,771",8.95
Glen Elder City of,Publicly Owned,307,204,"3,132",6.51
Goodland City of,Publicly Owned,"2,258","1,533","17,151",8.94
Greensburg City of,Publicly Owned,782,614,"7,233",8.49
Haven City of,Publicly Owned,500,418,"5,023",8.32
"Heartland Rural Elec Coop, Inc",Cooperative,"9,202","10,213","96,054",10.63
Herington City of,Publicly Owned,"1,350",937,"10,449",8.97
Herndon City of,Publicly Owned,146,80,866,9.24
Hill City City of,Publicly Owned,827,637,"6,860",9.29
Hillsboro City of,Publicly Owned,"1,214",905,"9,773",9.26
Hoisington City of,Publicly Owned,"1,188",891,"12,200",7.30
Holton City of,Publicly Owned,"1,904","1,228","16,355",7.51
Holyrood City of,Publicly Owned,285,182,"1,893",9.61
Horton City of,Publicly Owned,922,700,"7,829",8.94
Hugoton City of,Publicly Owned,"1,613","1,488","14,598",10.19
Iola City of,Publicly Owned,"3,238","2,148","33,449",6.42
Isabel City of,Publicly Owned,55,37,382,9.69
Iuka City of,Publicly Owned,99,74,947,7.81
Jetmore City of,Publicly Owned,454,305,"4,017",7.59
Johnson City of,Publicly Owned,539,457,"4,932",9.27
Kansas City City of,Publicly Owned,"57,746","42,019","568,601",7.39
Kansas City Power & Light Co,Investor-Owned,"192,148","183,522","2,550,772",7.19
Kansas Gas & Electric Co,Investor-Owned,"263,007","223,338","2,889,469",7.73
"Kaw Valley Electric Cooperative, Inc",Cooperative,"7,533","8,114","97,658",8.31
Kingman City of,Publicly Owned,"1,586","1,407","14,223",9.89
Kiowa City of,Publicly Owned,569,418,"5,338",7.83
La Crosse City of,Publicly Owned,669,560,"4,798",11.67
La Harpe City of,Publicly Owned,302,239,"2,825",8.46
Lakin City of,Publicly Owned,902,961,"7,078",13.58
"Lane-Scott Electric Coop, Inc",Cooperative,971,"1,123","10,900",10.30
Larned City of,Publicly Owned,"2,221","1,669","18,447",9.05
"Leavenworth-Jefferson E C, Inc",Cooperative,"6,954","9,013","89,443",10.08
Lincoln Center City of,Publicly Owned,711,458,"5,980",7.66
Lindsborg City of,Publicly Owned,"1,402",987,"12,151",8.12
Lucas City of,Publicly Owned,245,160,"1,765",9.07
Luray City of,Publicly Owned,132,69,776,8.89
"Lyon-Coffey Electric Coop, Inc",Cooperative,"5,410","6,259","60,841",10.29
Mankato City of,Publicly Owned,497,266,"3,768",7.06
Marion City of,Publicly Owned,952,879,"7,863",11.18
McPherson City of,Publicly Owned,"6,953","3,528","81,563",4.33
Meade City of,Publicly Owned,754,808,"6,387",12.65
Midwest Energy Inc,Cooperative,"22,047","18,749","229,744",8.16
Minneapolis City of,Publicly Owned,846,739,"8,819",8.38
Montezuma City of,Publicly Owned,409,292,"3,350",8.72
Moran City of,Publicly Owned,235,218,"2,527",8.63
Morrill City of,Publicly Owned,106,72,952,7.56
Moundridge City of,Publicly Owned,720,578,"8,407",6.88
Mount Hope City of,Publicly Owned,315,328,"3,654",8.98
Mulberry City of,Publicly Owned,265,266,"2,584",10.29
Mulvane City of,Publicly Owned,"2,045","1,712","22,392",7.65
Muscotah City of,Publicly Owned,94,70,799,8.76
"Nemaha-Marshall E C A, Inc",Cooperative,"2,963","2,625","35,717",7.35
Neodesha City of,Publicly Owned,"1,390","1,173","12,377",9.48
Norton City of,Publicly Owned,"1,447","1,077","12,183",8.84
Oakley City of,Publicly Owned,958,680,"8,145",8.35
Oberlin City of,Publicly Owned,"1,055",919,"9,220",9.97
Osage City City of,Publicly Owned,"1,302","1,226","12,769",9.60
Osawatomie City of,Publicly Owned,"1,918","1,649","17,718",9.31
Osborne City of,Publicly Owned,834,539,"6,988",7.71
Ottawa City of,Publicly Owned,"5,405","4,522","55,297",8.18
Oxford City of,Publicly Owned,510,381,"5,100",7.47
"Pioneer Electric Coop, Inc",Cooperative,"4,521","5,253","57,407",9.15
Pomona City of,Publicly Owned,490,325,"5,569",5.84
Prairie Land Electric Coop Inc,Cooperative,"3,375","4,147","41,306",10.04
Pratt City of,Publicly Owned,"3,310","2,923","29,869",9.79
Prescott City of,Publicly Owned,143,106,"1,198",8.85
"Radiant Electric Coop, Inc",Cooperative,"2,752","3,072","29,211",10.52
Radium City of,Publicly Owned,23,15,233,6.44
Robinson City of,Publicly Owned,125,74,"1,024",7.23
Rolling Hills Electric Coop,Power Marketer,"8,091","8,263","72,463",11.40
Russell City of,Publicly Owned,"2,582","1,542","21,885",7.05
Sabetha City of,Publicly Owned,"1,276",947,"13,099",7.23
Savonburg City of,Publicly Owned,50,36,362,9.94
Scranton City of,Publicly Owned,300,321,"3,596",8.93
Sedgwick Cnty El Coop Assn Inc,Cooperative,"4,166","5,773","65,313",8.84
Seneca City of,Publicly Owned,978,689,"9,481",7.27
Seward City of,Publicly Owned,32,31,402,7.71
Sharon Springs City of,Publicly Owned,441,350,"2,905",12.05
Southwestern Public Service Co,Investor-Owned,"1,060","3,381","10,262",32.95
St Francis City of,Publicly Owned,936,584,"5,243",11.14
St John City of,Publicly Owned,675,576,"6,329",9.10
St Marys City of,Publicly Owned,842,632,"8,245",7.67
Stafford City of,Publicly Owned,685,513,"5,966",8.60
Sterling City of,Publicly Owned,"1,041",891,"9,205",9.68
Stockton City of,Publicly Owned,767,587,"5,873",9.99
Summerfield Town of,Publicly Owned,137,63,909,6.93
"Sumner-Cowley Elec Coop, Inc",Cooperative,"3,827","5,391","45,777",11.78
"The Brown-Atchison E C A, Inc",Cooperative,"2,750","3,000","30,137",9.95
"The Ninnescah Rural E C A, Inc",Cooperative,"2,585","2,441","22,934",10.64
Toronto City of,Publicly Owned,259,181,"2,244",8.07
"Tri-County Electric Coop, Inc",Cooperative,7,8,74,10.81
Troy City of,Publicly Owned,500,392,"4,505",8.70
"Twin Valley Electric Coop, Inc",Cooperative,"2,171","2,570","23,139",11.11
Udall City of,Publicly Owned,332,326,"3,802",8.57
Vermillion City of,Publicly Owned,86,52,544,9.56
Victory Electric Coop Assn Inc,Cooperative,"2,506","2,399","25,624",9.36
Wamego City of,Publicly Owned,"1,716","1,423","17,557",8.11
Washington City of,Publicly Owned,591,453,"4,651",9.74
Waterville City of,Publicly Owned,395,238,"2,685",8.86
Wathena City of,Publicly Owned,552,587,"6,683",8.78
Wellington City of,Publicly Owned,"3,850","3,106","37,260",8.34
"Westar Energy, Inc.",Investor-Owned,"303,254","218,767","3,281,055",6.67
Western Coop Electric Assn Inc,Cooperative,"3,034","2,346","22,957",10.22
"Wheatland Electric Coop, Inc",Cooperative,"9,764","9,789","87,975",11.13
Winfield City of,Publicly Owned,"7,094","5,178","61,249",8.45
 State Total,,"1,157,820","977,037","12,745,301",7.67
Kentucky,,,,,
Barbourville Utility Comm,Publicly Owned,"3,359","2,078","40,315",5.15
Bardstown City of,Publicly Owned,"3,060","2,205","42,546",5.18
Bardwell City of,Publicly Owned,476,302,"4,892",6.17
Benham City of,Publicly Owned,269,232,"4,526",5.13
Benton City of,Publicly Owned,"1,779","1,724","24,483",7.04
Berea College,Investor-Owned,"3,906","2,370","50,795",4.67
Big Sandy Rural Elec Coop Corp,Cooperative,"11,377","10,231","176,607",5.79
Blue Grass Energy Coop Corp,Cooperative,"46,857","43,125","693,442",6.22
Bowling Green City of,Publicly Owned,"20,465","15,389","238,717",6.45
"Clark Energy Cooperative, Inc",Cooperative,"22,555","19,972","297,277",6.72
Corbin City Utilities Comm,Publicly Owned,"3,366","2,002","37,645",5.32
Cumberland Valley Rural E C C,Cooperative,"22,229","17,479","304,176",5.75
Falmouth City of,Publicly Owned,"1,255",676,"10,430",6.48
Farmers Rural Electric Cooperative Corp,Cooperative,"20,438","17,160","288,766",5.94
Fleming-Mason Energy Coop Inc,Cooperative,"20,352","16,016","264,575",6.05
Frankfort City of,Publicly Owned,"16,549","9,683","212,636",4.55
Franklin City of,Publicly Owned,"3,895","2,949","48,760",6.05
Fulton City of,Publicly Owned,"1,491","1,215","18,595",6.53
Glasgow City of,Publicly Owned,"5,099","4,039","62,661",6.45
Grayson Rural Electric Cooperative Corp,Cooperative,"13,470","12,765","176,446",7.23
Henderson City Utility Comm,Publicly Owned,"9,847","4,796","121,304",3.95
Hickman City of,Publicly Owned,964,908,"12,290",7.39
Hickman-Fulton Counties RECC,Cooperative,"3,073","3,405","47,784",7.13
Hopkinsville City of,Publicly Owned,"11,067","11,889","140,276",8.48
Inter County Energy Coop Corp,Cooperative,"23,079","22,227","342,410",6.49
Jackson Energy Coop Corp,Cooperative,"45,843","47,136","663,873",7.10
Jackson Purchase Energy CC,Cooperative,"24,734","23,112","372,407",6.21
Jellico City of,Publicly Owned,"2,039","1,837","26,452",6.94
Kenergy Corp,Cooperative,"44,534","41,919","704,769",5.95
Kentucky Power Co,Investor-Owned,"144,400","118,654","2,468,625",4.81
Kentucky Utilities Co,Investor-Owned,"389,824","255,135","5,784,469",4.41
Licking Valley Rural E C C,Cooperative,"15,302","12,864","190,388",6.76
Louisville Gas & Electric Co,Investor-Owned,"334,328","232,527","4,035,725",5.76
Madisonville Municipal Utils,Publicly Owned,"7,133","4,216","80,897",5.21
Mayfield Plant Board City of,Publicly Owned,"4,777","3,741","56,873",6.58
Meade County Rural E C C,Cooperative,"23,379","18,036","293,890",6.14
Monticello City of,Publicly Owned,"2,756","2,324","38,414",6.05
Murray City of,Publicly Owned,"6,094","4,909","78,314",6.27
Nicholasville City of,Publicly Owned,"5,117","2,968","64,803",4.58
Nolin Rural Electric Coop Corp,Cooperative,"26,019","24,859","405,632",6.13
Olive Hill City of,Publicly Owned,"1,143",784,"14,443",5.43
"Owen Electric Cooperative, Inc",Cooperative,"45,779","37,990","615,132",6.18
Owensboro City of,Publicly Owned,"22,473","14,025","241,938",5.80
Paducah City of,Publicly Owned,"18,647","14,682","238,547",6.15
Paris City of,Publicly Owned,"2,089","1,855","23,850",7.78
Pennyrile Rural Elec Coop Corp,Cooperative,"35,034","36,083","519,487",6.95
Princeton City of,Publicly Owned,"3,282","2,482","35,163",7.06
Providence City of,Publicly Owned,"1,427","1,124","17,589",6.39
Russellville City of,Publicly Owned,"3,293","2,569","39,675",6.48
Salt River Electric Coop Corp,Cooperative,"36,777","34,621","583,590",5.93
"Shelby Energy Co-op, Inc",Cooperative,"12,820","12,741","202,023",6.31
South Kentucky Rural E C C,Cooperative,"53,400","42,316","699,119",6.05
Taylor County Rural E C C,Cooperative,"20,450","17,418","279,717",6.23
"The Union Light, Heat & Power Co",Investor-Owned,"113,009","90,353","1,399,674",6.46
Tri-County Elec Member Corp,Cooperative,"19,035","18,459","274,925",6.71
Vanceburg City of,Publicly Owned,"2,404","1,788","31,379",5.70
Warren Rural Elec Coop Corp,Cooperative,"45,516","48,428","723,027",6.70
West Kentucky Rural E C C,Cooperative,"30,643","33,458","467,161",7.16
Williamstown Utility Comm,Publicly Owned,"1,212",995,"12,833",7.75
 State Total,,"1,814,989","1,431,245","25,347,157",5.65
Louisiana,,,,,
Abbeville City of,Publicly Owned,"4,249","4,189","48,447",8.65
Alexandria City of,Publicly Owned,"20,939","12,170","281,236",4.33
"Ashley Chicot Elec Coop, Inc",Cooperative,108,127,"1,546",8.21
"Beauregard Electric Coop, Inc",Cooperative,"32,716","35,854","504,045",7.11
Boyce Town of,Publicly Owned,406,452,"5,412",8.35
"Claiborne Electric Coop, Inc",Cooperative,"19,816","19,076","277,325",6.88
Cleco Power LLC,Investor-Owned,"216,595","247,877","3,400,026",7.29
"Concordia Electric Coop, Inc",Cooperative,"10,553","8,633","123,311",7.00
Dixie Electric Membership Corp,Cooperative,"74,123","87,398","1,231,937",7.09
Elizabeth Town of,Publicly Owned,220,227,"2,929",7.75
Entergy Gulf States Inc,Investor-Owned,"291,053","339,325","4,519,927",7.51
Entergy Louisiana Inc,Investor-Owned,"565,882","637,901","8,780,158",7.27
Entergy New Orleans Inc,Investor-Owned,"171,064","170,517","2,158,084",7.90
Erath City of,Publicly Owned,831,950,"10,856",8.75
Gueydan Town of,Publicly Owned,711,612,"9,078",6.74
"Jefferson Davis Elec Coop, Inc",Cooperative,"8,572","8,283","120,539",6.87
Jonesville City of,Publicly Owned,"1,012","1,144","11,965",9.56
Kaplan City of,Publicly Owned,"1,701","2,096","21,626",9.69
Lafayette City of,Publicly Owned,"45,822","43,103","734,397",5.87
Minden City of,Publicly Owned,"5,305","4,653","61,607",7.55
Morgan City City of,Publicly Owned,"5,041","5,190","74,387",6.98
Natchitoches City of,Publicly Owned,"6,666","5,880","79,410",7.40
New Roads City of,Publicly Owned,"1,609","1,620","19,518",8.30
Northeast Louisiana Power Coop Inc.,Cooperative,"10,835","10,990","175,057",6.28
"Panola-Harrison Elec Coop, Inc",Cooperative,"7,484","6,844","117,896",5.81
Plaquemine City of,Publicly Owned,"3,744","4,142","52,031",7.96
Pointe Coupee Elec Member Corp,Cooperative,"7,593","7,468","107,832",6.93
Rayne City of,Publicly Owned,"3,387","3,526","41,903",8.41
Ruston City of,Publicly Owned,"7,704","2,475","91,488",2.71
South Louisiana Elec Coop Assn,Cooperative,"15,609","14,797","244,000",6.06
Southwest Louisiana E M C,Cooperative,"74,263","80,116","1,312,220",6.11
Southwestern Electric Power Co,Investor-Owned,"148,402","132,786","2,154,103",6.16
St Martinville City of,Publicly Owned,"2,484","2,919","31,058",9.40
Terrebonne Parish Consol Gov't,Publicly Owned,"9,168","12,013","153,521",7.82
Valley Electric Member Corp,Cooperative,"27,675","32,705","460,000",7.11
Vidalia Town of,Publicly Owned,"2,318","2,341","26,141",8.96
Vinton Town of,Publicly Owned,"1,304","1,605","16,152",9.94
"Washington-St Tammany E C, Inc",Cooperative,"37,674","44,339","637,906",6.95
Welsh Town of,Publicly Owned,"1,469","1,314","22,781",5.77
Winnfield City of,Publicly Owned,"2,481","2,698","35,237",7.66
 State Total,,"1,848,588","2,000,355","28,157,092",7.10
Maine,,,,,
Bangor Hydro-Electric Co,Investor-Owned,"23,199","22,852","148,939",15.34
Central Maine Power Co,Investor-Owned,25,10,83,12.05
"Fox Islands Electric Coop, Inc",Cooperative,"1,547","1,019","6,452",15.79
Kennebunk Light & Power Dist,Publicly Owned,"5,005","2,558","43,582",5.87
Madison Town of,Publicly Owned,"2,107","1,549","15,536",9.97
Matinicus Plantation Elec Co,Publicly Owned,114,78,208,37.50
Swans Island Electric Coop Inc,Cooperative,557,381,"2,176",17.51
Van Buren Light & Power Dist,Publicly Owned,"1,152",601,"7,315",8.22
 State Total,,"33,706","29,048","224,291",12.95
Maryland,,,,,
A & N Electric Cooperative,Cooperative,300,275,"2,884",9.54
Baltimore Gas & Electric Co,Investor-Owned,"1,046,686","944,049","12,104,368",7.80
Berlin Town of,Publicly Owned,"1,437","1,716","18,100",9.48
"Choptank Electric Coop, Inc",Cooperative,"39,155","48,037","517,834",9.28
Delmarva Power & Light Company,Investor-Owned,"160,190","165,760","2,023,610",8.19
Easton Utilities Comm,Publicly Owned,"7,330","7,113","93,892",7.58
Hagerstown City of,Publicly Owned,"14,840","6,835","134,478",5.08
Potomac Electric Power Co,Investor-Owned,"394,649","406,454","5,137,748",7.91
"Southern Maryland Elect Cooperative, Inc",Cooperative,"115,396","136,933","1,834,480",7.46
The Potomac Edison Co,Investor-Owned,"196,615","195,813","2,843,971",6.89
Thurmont Municipal Light Co,Publicly Owned,"2,364","1,471","36,334",4.05
Williamsport Town of,Publicly Owned,752,460,"9,500",4.84
 State Total,,"1,979,714","1,914,916","24,757,199",7.73
Massachusetts,,,,,
Ashburnham Town of,Publicly Owned,"2,589","2,375","18,848",12.60
Belmont Town of,Publicly Owned,"9,914","7,234","69,520",10.41
Boston Edison Co,Investor-Owned,"582,247","519,523","3,958,034",13.13
Boylston Town of,Publicly Owned,"1,723","1,633","16,432",9.94
Braintree Town of,Publicly Owned,"12,256","9,104","106,190",8.57
Cambridge Electric Light Co,Investor-Owned,"39,483","22,926","185,041",12.39
Chester Town of,Publicly Owned,565,454,"3,675",12.35
Chicopee City of,Publicly Owned,"23,179","15,113","176,937",8.54
Commonwealth Electric Co,Investor-Owned,"288,320","245,269","1,797,977",13.64
Concord Town of,Publicly Owned,"6,181","6,349","64,894",9.78
Danvers Town of,Publicly Owned,"9,743","9,337","79,521",11.74
Fitchburg Gas & Elec Light Co,Investor-Owned,"23,380","19,479","161,046",12.10
Georgetown Town of,Publicly Owned,"2,600","2,681","25,097",10.68
Groton Town of,Publicly Owned,"3,916","3,787","37,681",10.05
Groveland Town of,Publicly Owned,"2,209","1,745","19,414",8.99
Hingham City of,Publicly Owned,"9,341","7,891","76,685",10.29
Holden Town of,Publicly Owned,"6,024","5,607","52,784",10.62
Holyoke City of,Publicly Owned,"14,294","11,216","100,368",11.17
Hudson Town of,Publicly Owned,"9,655","8,506","83,134",10.23
Hull Town of,Publicly Owned,"5,543","3,741","33,444",11.19
Ipswich Town of,Publicly Owned,"5,771","4,659","46,617",9.99
Littleton Town of,Publicly Owned,"5,420","4,775","56,000",8.53
Mansfield Town of,Publicly Owned,"8,307","8,272","72,938",11.34
Marblehead City of,Publicly Owned,"10,206","7,886","74,323",10.61
Massachusetts Electric Co,Investor-Owned,"1,049,310","762,058","8,056,404",9.46
Merrimac Town of,Publicly Owned,"2,431","1,736","19,951",8.70
Middleborough Town of,Publicly Owned,"11,354","9,629","97,795",9.85
Middleton Town of,Publicly Owned,"2,417","2,498","27,902",8.95
Nantucket Electric Co,Investor-Owned,"9,813","9,221","79,037",11.67
North Attleborough Town of,Publicly Owned,"10,985","9,499","96,840",9.81
Norwood City of,Publicly Owned,"12,672","6,263","80,979",7.73
Paxton Town of,Publicly Owned,"1,514","1,548","14,109",10.97
Peabody City of,Publicly Owned,"19,742","14,953","166,279",8.99
Princeton Town of,Publicly Owned,"1,355","1,434","12,925",11.09
Reading Town of,Publicly Owned,"24,083","24,225","219,262",11.05
Rowley Town of,Publicly Owned,"2,151","1,773","20,013",8.86
Russell City of,Publicly Owned,429,374,"3,374",11.08
