"Table 15. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Commercial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Grundy Center Mun Light & Power,Publicly Owned,251,660,"10,129",6.52
Grundy County Rural Elec Coop,Cooperative,224,859,"10,853",7.91
"Grundy Electric Coop, Inc",Cooperative,59,67,780,8.59
Guthrie County Rural E C A,Cooperative,74,787,"9,031",8.71
Guttenberg City of,Publicly Owned,235,293,"4,131",7.09
Harlan City of,Publicly Owned,225,"1,340","23,496",5.70
Harrison County Rrl Elec Coop,Cooperative,119,361,"4,814",7.50
Hartley City of,Publicly Owned,105,134,"2,297",5.83
Hawarden City of,Publicly Owned,176,359,"5,936",6.05
Hawkeye Tri-County El Coop Inc,Cooperative,438,"1,934","28,910",6.69
Heartland Power Cooperative,Cooperative,249,"1,550","27,747",5.59
Hinton City of,Publicly Owned,46,40,587,6.81
Hopkinton City of,Publicly Owned,51,115,"1,582",7.27
Hudson City of,Publicly Owned,90,327,"4,317",7.57
Humboldt County R E C,Cooperative,64,564,"8,872",6.36
Independence City of,Publicly Owned,432,944,"11,453",8.24
Indianola Municipal Utilities,Publicly Owned,958,"2,604","42,714",6.10
Interstate Power and Light Co,Investor-Owned,"67,952","215,494","3,199,333",6.74
Iowa Lakes Electric Coop,Cooperative,"1,029","4,130","67,091",6.16
Keosauqua Municipal Light & Pwr,Publicly Owned,108,163,"2,599",6.27
Kimballton City of,Publicly Owned,45,28,418,6.70
La Porte City Utilities,Publicly Owned,191,332,"5,630",5.90
Lake Mills City of,Publicly Owned,166,295,"4,280",6.89
Lake Park City of,Publicly Owned,94,80,"1,097",7.29
Lake View City of,Publicly Owned,160,102,"1,711",5.96
Lamoni City of,Publicly Owned,140,707,"10,603",6.67
Larchwood City of,Publicly Owned,56,115,"1,908",6.03
Laurens City of,Publicly Owned,106,70,"1,568",4.46
Lawler City of,Publicly Owned,40,57,842,6.77
Lehigh City of,Publicly Owned,26,33,406,8.13
Lenox City of,Publicly Owned,158,467,"8,409",5.55
Linn County Rural E C A,Cooperative,"1,849","2,081","21,524",9.67
Livermore City of,Publicly Owned,48,109,928,11.75
Long Grove City of,Publicly Owned,17,52,530,9.81
Lyon Rural Electric Coop,Cooperative,53,836,"16,203",5.16
Manilla Town of,Publicly Owned,65,123,"2,000",6.15
Manning City of,Publicly Owned,124,181,"2,926",6.19
Mapleton City of,Publicly Owned,119,166,"1,478",11.23
Maquoketa City of,Publicly Owned,574,"2,156","29,471",7.32
Maquoketa Valley Rrl Elec Coop,Cooperative,659,"1,716","21,881",7.84
Marathon City of,Publicly Owned,47,82,"1,073",7.64
McGregor City of,Publicly Owned,106,87,"1,370",6.35
MidAmerican Energy Co,Investor-Owned,"70,901","231,638","3,445,081",6.72
Midland Power Cooperative,Cooperative,254,"1,439","33,655",4.28
Milford City of,Publicly Owned,197,239,"4,096",5.83
Montezuma City of,Publicly Owned,158,410,"5,704",7.19
Mt Pleasant City of,Publicly Owned,567,"2,521","35,625",7.08
Neola City of,Publicly Owned,51,53,817,6.49
New Hampton City of,Publicly Owned,294,531,"8,348",6.36
New London Municipal Utilities,Publicly Owned,110,198,"3,090",6.41
Nishnabotna Valley R E C,Cooperative,147,613,"11,135",5.51
North West Rural Electric Coop,Cooperative,262,"3,698","85,577",4.32
Ogden City of,Publicly Owned,115,68,801,8.49
Onawa City of,Publicly Owned,238,739,"12,968",5.70
Orange City City of,Publicly Owned,255,425,"7,267",5.85
Osage City of,Publicly Owned,306,"1,769","33,613",5.26
"Osceola Electric Coop, Inc",Cooperative,45,267,"5,364",4.98
Panora City of,Publicly Owned,202,445,"7,830",5.68
Paton City of,Publicly Owned,25,48,491,9.78
Paullina City of,Publicly Owned,111,206,"3,856",5.34
Pella City of,Publicly Owned,525,"1,920","20,895",9.19
Pella Cooperative Elec Assn,Cooperative,189,732,"8,341",8.78
Pocahontas City of,Publicly Owned,157,208,"3,000",6.93
Prairie Energy Cooperative,Cooperative,325,"2,116","34,173",6.19
Preston City of,Publicly Owned,97,229,"2,776",8.25
Primghar City of,Publicly Owned,108,183,"4,243",4.31
Readlyn City of,Publicly Owned,30,47,791,5.94
Remsen City of,Publicly Owned,163,153,"3,441",4.45
Renwick City of,Publicly Owned,19,137,"1,900",7.21
"Rideta Electric Coop, Inc",Cooperative,68,"1,008","14,287",7.06
Rock Rapids Municipal Utility,Publicly Owned,211,599,"10,933",5.48
Rockford City of,Publicly Owned,95,86,"1,214",7.08
Sabula City of,Publicly Owned,27,97,"1,298",7.47
Sac County Rural Electric Coop,Cooperative,92,408,"5,726",7.13
Sanborn City of,Publicly Owned,112,277,"4,923",5.63
Sergeant Bluff City of,Publicly Owned,133,288,"1,073",26.84
Shelby City of,Publicly Owned,73,115,"2,333",4.93
Sibley City of,Publicly Owned,224,434,"7,757",5.59
Sioux Center City of,Publicly Owned,291,972,"16,986",5.72
"Southern Iowa Elec Coop, Inc",Cooperative,210,648,"11,634",5.57
Southwest Iowa Service Coop,Cooperative,33,502,"7,057",7.11
Spencer City of,Publicly Owned,871,"3,447","75,265",4.58
Stanhope City of,Publicly Owned,45,99,"1,029",9.62
Stanton City of,Publicly Owned,50,115,977,11.77
State Center City of,Publicly Owned,97,210,"2,310",9.09
Story City City of,Publicly Owned,184,288,"3,849",7.48
Stratford City of,Publicly Owned,64,183,"1,802",10.16
Strawberry Point City of,Publicly Owned,110,274,"3,572",7.67
Stuart City of,Publicly Owned,162,542,"7,187",7.54
Sumner City of,Publicly Owned,240,441,"6,176",7.14
T I P Rural Electric Coop,Cooperative,167,"3,545","50,917",6.96
Tipton City of,Publicly Owned,304,782,"9,195",8.50
Traer City of,Publicly Owned,150,386,"4,942",7.81
Tri-County Electric Coop,Cooperative,2,13,106,12.26
Villisca City of,Publicly Owned,113,186,"3,781",4.92
Vinton City of,Publicly Owned,299,402,"6,890",5.83
Wall Lake City of,Publicly Owned,46,163,"3,082",5.29
Waverly Municipal Elec Utility,Publicly Owned,513,"2,180","34,138",6.39
Webster City City of,Publicly Owned,536,"1,642","23,891",6.87
West Bend City of,Publicly Owned,120,179,"2,677",6.69
West Liberty City of,Publicly Owned,178,331,"6,553",5.05
West Point Utility System,Publicly Owned,100,335,"3,966",8.45
Western Iowa Power Coop,Cooperative,151,364,"9,586",3.80
Westfield Town of,Publicly Owned,8,15,190,7.89
Whittemore City of,Publicly Owned,56,60,940,6.38
Wilton City of,Publicly Owned,169,276,"3,826",7.21
Winterset City of,Publicly Owned,338,"1,193","15,039",7.93
Woodbine City of,Publicly Owned,120,196,"3,395",5.77
Woodbury County Rural E C A,Cooperative,48,647,"10,015",6.46
Woolstock City of,Publicly Owned,9,82,751,10.92
 State Total,,"178,152","577,849","8,803,131",6.56
Kansas,,,,,
"Alfalfa Electric Coop, Inc",Cooperative,584,442,"4,952",8.93
Alma City of,Publicly Owned,122,218,"2,702",8.07
Anthony City of,Publicly Owned,257,647,"8,969",7.21
Aquila Inc,Investor-Owned,"15,570","39,364","558,259",7.05
Arcadia City of,Publicly Owned,9,6,182,3.30
"Ark Valley Elec Coop Assn, Inc",Cooperative,608,"1,620","14,971",10.82
Arma City of,Publicly Owned,70,353,"3,950",8.94
Ashland City of,Publicly Owned,167,381,"4,571",8.34
Attica City of,Publicly Owned,86,130,"1,617",8.04
Augusta City of,Publicly Owned,500,"2,012","28,241",7.12
Axtell City of,Publicly Owned,34,59,705,8.37
Baldwin City City of,Publicly Owned,230,"1,304","13,479",9.67
Belleville City of,Publicly Owned,227,"1,144","12,386",9.24
Beloit City of,Publicly Owned,410,801,"10,833",7.39
"Bluestem Electric Coop, Inc",Cooperative,"1,284","1,316","11,584",11.36
Bronson City of,Publicly Owned,19,50,660,7.58
Burlingame City of,Publicly Owned,96,245,"2,873",8.53
Burlington City of,Publicly Owned,293,"1,236","17,650",7.00
"Butler Rural El Coop Assn, Inc",Cooperative,606,"1,625","17,794",9.13
"Caney Valley El Coop Assn, Inc",Cooperative,"1,355","1,884","15,983",11.79
Cawker City City of,Publicly Owned,57,152,"1,211",12.55
Centralia City of,Publicly Owned,54,132,"1,589",8.31
Chanute City of,Publicly Owned,962,"3,085","41,035",7.52
Chapman City of,Publicly Owned,58,87,980,8.88
Chetopa City of,Publicly Owned,116,280,"4,207",6.66
Cimarron City of,Publicly Owned,138,129,"1,598",8.07
Clay Center City of,Publicly Owned,337,"1,105","12,572",8.79
"CMS Electric Cooperative, Inc",Cooperative,"1,270","4,392","46,022",9.54
Coffeyville City of,Publicly Owned,"1,022","5,799","78,066",7.43
Colby City of,Publicly Owned,549,977,"13,597",7.19
"D S & O Rural E C A, Inc",Cooperative,892,"2,074","23,182",8.95
Dighton City of,Publicly Owned,132,403,"4,153",9.70
"Doniphan Elec Coop Assn, Inc",Cooperative,114,177,"2,196",8.06
Ellinwood City of,Publicly Owned,164,201,"2,027",9.92
Elsmore City of,Publicly Owned,2,6,52,11.54
Elwood City of,Publicly Owned,20,64,725,8.83
Empire District Electric Co,Investor-Owned,"1,297","3,392","47,696",7.11
Enterprise City of,Publicly Owned,9,20,419,4.77
Erie City of,Publicly Owned,164,407,"5,186",7.85
Eudora City of,Publicly Owned,27,568,"7,340",7.74
"Flint Hills Rural E C A, Inc",Cooperative,503,"1,649","18,050",9.14
Fredonia City of,Publicly Owned,264,"1,183","13,586",8.71
Galva City of,Publicly Owned,73,72,884,8.14
Garden City City of,Publicly Owned,773,"1,685","21,913",7.69
Gardner City of,Publicly Owned,270,"1,554","20,423",7.61
Garnett City of,Publicly Owned,271,285,"3,149",9.05
Girard City of,Publicly Owned,270,776,"8,277",9.38
Glasco City of,Publicly Owned,36,58,608,9.54
Glen Elder City of,Publicly Owned,64,129,"1,236",10.44
Goodland City of,Publicly Owned,440,821,"8,299",9.89
Greensburg City of,Publicly Owned,166,324,"4,233",7.65
Haven City of,Publicly Owned,48,422,"5,368",7.86
"Heartland Rural Elec Coop, Inc",Cooperative,"1,210","2,612","28,684",9.11
Herington City of,Publicly Owned,184,766,"8,549",8.96
Herndon City of,Publicly Owned,21,30,330,9.09
Hill City City of,Publicly Owned,276,550,"6,415",8.57
Hillsboro City of,Publicly Owned,258,958,"10,812",8.86
Hoisington City of,Publicly Owned,260,315,"5,804",5.43
Holton City of,Publicly Owned,328,924,"12,898",7.16
Holyrood City of,Publicly Owned,26,82,847,9.68
Horton City of,Publicly Owned,130,361,"4,049",8.92
Hugoton City of,Publicly Owned,360,"1,402","12,528",11.19
Iola City of,Publicly Owned,557,"1,853","33,281",5.57
Isabel City of,Publicly Owned,18,43,373,11.53
Iuka City of,Publicly Owned,28,37,358,10.34
Jetmore City of,Publicly Owned,161,268,"4,162",6.44
Johnson City of,Publicly Owned,307,515,"5,455",9.44
Kansas City City of,Publicly Owned,"7,115","50,097","806,032",6.22
Kansas City Power & Light Co,Investor-Owned,"23,808","171,068","2,826,563",6.05
Kansas Gas & Electric Co,Investor-Owned,"29,445","170,847","2,675,312",6.39
"Kaw Valley Electric Cooperative, Inc",Cooperative,474,462,"5,597",8.25
Kingman City of,Publicly Owned,311,708,"7,468",9.48
Kiowa City of,Publicly Owned,156,211,"2,519",8.38
La Crosse City of,Publicly Owned,158,235,"2,118",11.10
La Harpe City of,Publicly Owned,23,25,285,8.77
Lakin City of,Publicly Owned,148,842,"6,091",13.82
"Lane-Scott Electric Coop, Inc",Cooperative,794,"3,702","39,459",9.38
Larned City of,Publicly Owned,366,"1,199","15,284",7.84
"Leavenworth-Jefferson E C, Inc",Cooperative,522,"1,332","16,944",7.86
Lincoln Center City of,Publicly Owned,182,282,"3,372",8.36
Lindsborg City of,Publicly Owned,234,"1,142","14,053",8.13
Lucas City of,Publicly Owned,56,88,"1,085",8.11
Luray City of,Publicly Owned,33,53,657,8.07
"Lyon-Coffey Electric Coop, Inc",Cooperative,"1,491","2,283","21,261",10.74
Mankato City of,Publicly Owned,122,224,"2,772",8.08
Marion City of,Publicly Owned,244,521,"7,370",7.07
McPherson City of,Publicly Owned,"1,180","4,348","96,361",4.51
Meade City of,Publicly Owned,165,352,"3,718",9.47
Midwest Energy Inc,Cooperative,"11,406","34,284","456,312",7.51
Minneapolis City of,Publicly Owned,198,498,"6,830",7.29
Montezuma City of,Publicly Owned,77,415,"4,374",9.49
Moran City of,Publicly Owned,44,138,"1,936",7.13
Morrill City of,Publicly Owned,28,16,162,9.88
Moundridge City of,Publicly Owned,91,355,"5,597",6.34
Mount Hope City of,Publicly Owned,45,139,"1,834",7.58
Mulberry City of,Publicly Owned,13,16,156,10.26
Mulvane City of,Publicly Owned,285,845,"11,423",7.40
Muscotah City of,Publicly Owned,7,6,58,10.34
"Nemaha-Marshall E C A, Inc",Cooperative,337,509,"6,168",8.25
Neodesha City of,Publicly Owned,207,352,"3,920",8.98
Norton City of,Publicly Owned,335,986,"12,292",8.02
Oakley City of,Publicly Owned,251,355,"4,482",7.92
Oberlin City of,Publicly Owned,244,499,"5,340",9.34
Osage City City of,Publicly Owned,267,915,"10,883",8.41
Osawatomie City of,Publicly Owned,213,900,"10,764",8.36
Osborne City of,Publicly Owned,144,158,"1,606",9.84
Ottawa City of,Publicly Owned,404,716,"13,779",5.20
Oxford City of,Publicly Owned,51,65,859,7.57
"Pioneer Electric Coop, Inc",Cooperative,"8,688","16,290","186,580",8.73
Pomona City of,Publicly Owned,54,96,"1,909",5.03
Prairie Land Electric Coop Inc,Cooperative,"1,747","6,027","66,593",9.05
Pratt City of,Publicly Owned,669,"2,858","30,140",9.48
Prescott City of,Publicly Owned,25,52,700,7.43
"Radiant Electric Coop, Inc",Cooperative,976,"1,262","13,521",9.33
Robinson City of,Publicly Owned,20,13,180,7.22
Rolling Hills Electric Coop,Power Marketer,"1,214","3,706","39,059",9.49
Russell City of,Publicly Owned,730,"1,257","17,443",7.21
Sabetha City of,Publicly Owned,259,163,"1,864",8.74
Savonburg City of,Publicly Owned,10,10,109,9.17
Scranton City of,Publicly Owned,20,24,271,8.86
Sedgwick Cnty El Coop Assn Inc,Cooperative,740,"1,744","21,257",8.20
Seneca City of,Publicly Owned,196,296,"4,653",6.36
Seward City of,Publicly Owned,6,34,206,16.50
Sharon Springs City of,Publicly Owned,97,334,"2,951",11.32
Southwestern Public Service Co,Investor-Owned,393,717,"11,475",6.25
St Francis City of,Publicly Owned,272,488,"4,234",11.53
St John City of,Publicly Owned,150,411,"4,125",9.96
St Marys City of,Publicly Owned,156,693,"8,678",7.99
Stafford City of,Publicly Owned,105,269,"3,336",8.06
Sterling City of,Publicly Owned,203,729,"8,188",8.90
Stockton City of,Publicly Owned,156,252,"2,760",9.13
Summerfield Town of,Publicly Owned,34,42,605,6.94
"Sumner-Cowley Elec Coop, Inc",Cooperative,414,"1,728","17,567",9.84
"The Brown-Atchison E C A, Inc",Cooperative,294,"1,443","15,281",9.44
"The Ninnescah Rural E C A, Inc",Cooperative,834,"2,323","23,779",9.77
Toronto City of,Publicly Owned,18,14,169,8.28
"Tri-County Electric Coop, Inc",Cooperative,5,6,52,11.54
Troy City of,Publicly Owned,56,86,"1,133",7.59
"Twin Valley Electric Coop, Inc",Cooperative,240,485,"3,896",12.45
Udall City of,Publicly Owned,33,194,"1,893",10.25
Vermillion City of,Publicly Owned,16,16,163,9.82
Victory Electric Coop Assn Inc,Cooperative,534,"4,762","77,209",6.17
Wamego City of,Publicly Owned,255,635,"7,173",8.85
Washington City of,Publicly Owned,196,593,"7,561",7.84
Waterville City of,Publicly Owned,61,222,"2,001",11.09
Wathena City of,Publicly Owned,88,142,"1,706",8.32
Wellington City of,Publicly Owned,543,"1,589","20,287",7.83
"Westar Energy, Inc.",Investor-Owned,"46,312","214,528","4,141,584",5.18
Western Coop Electric Assn Inc,Cooperative,"1,306","7,220","86,751",8.32
"Wheatland Electric Coop, Inc",Cooperative,"6,997","15,554","151,632",10.26
Winfield City of,Publicly Owned,987,"1,751","21,665",8.08
 State Total,,"194,996","841,207","13,392,220",6.28
Kentucky,,,,,
Barbourville Utility Comm,Publicly Owned,496,403,"7,877",5.12
Bardstown City of,Publicly Owned,"1,007","2,771","52,610",5.27
Bardwell City of,Publicly Owned,81,209,"2,825",7.40
Benham City of,Publicly Owned,11,23,801,2.87
Benton City of,Publicly Owned,610,"2,086","31,060",6.72
Berea College,Investor-Owned,776,"1,250","23,335",5.36
Big Sandy Rural Elec Coop Corp,Cooperative,996,"3,852","66,511",5.79
Blue Grass Energy Coop Corp,Cooperative,"1,941","6,721","112,085",6.00
Bowling Green City of,Publicly Owned,"3,962","22,657","361,264",6.27
"Clark Energy Cooperative, Inc",Cooperative,"1,400","5,863","82,632",7.10
Corbin City Utilities Comm,Publicly Owned,655,"1,767","14,508",12.18
Cumberland Valley Rural E C C,Cooperative,"1,339","1,560","20,984",7.43
Falmouth City of,Publicly Owned,62,399,"6,056",6.59
Farmers Rural Electric Cooperative Corp,Cooperative,"1,410","4,043","67,204",6.02
Fleming-Mason Energy Coop Inc,Cooperative,"1,660","6,479","124,268",5.21
Frankfort City of,Publicly Owned,"2,707","4,045","76,882",5.26
Franklin City of,Publicly Owned,715,"2,375","38,305",6.20
Fulton City of,Publicly Owned,323,"1,464","23,041",6.35
Glasgow City of,Publicly Owned,"1,640","7,810","124,363",6.28
Grayson Rural Electric Cooperative Corp,Cooperative,"1,201","3,366","48,463",6.95
Henderson City Utility Comm,Publicly Owned,"1,737","7,306","206,940",3.53
Hickman City of,Publicly Owned,253,791,"8,816",8.97
Hickman-Fulton Counties RECC,Cooperative,707,"1,239","15,390",8.05
Hopkinsville City of,Publicly Owned,"2,080","6,558","157,008",4.18
Inter County Energy Coop Corp,Cooperative,138,"2,010","30,852",6.51
Jackson Energy Coop Corp,Cooperative,"3,138","9,044","133,387",6.78
Jackson Purchase Energy CC,Cooperative,"2,457","7,891","145,969",5.41
Jellico City of,Publicly Owned,284,378,"4,738",7.98
Kenergy Corp,Cooperative,"5,949","13,534","231,655",5.84
Kentucky Power Co,Investor-Owned,"26,704","66,051","1,327,062",4.98
Kentucky Utilities Co,Investor-Owned,"73,267","169,579","3,974,238",4.27
Licking Valley Rural E C C,Cooperative,"1,042","2,972","40,516",7.34
Louisville Gas & Electric Co,Investor-Owned,"40,893","185,306","3,492,517",5.31
Madisonville Municipal Utils,Publicly Owned,"1,404","10,751","247,632",4.34
Mayfield Plant Board City of,Publicly Owned,925,"4,399","68,824",6.39
Meade County Rural E C C,Cooperative,"1,939","5,871","88,025",6.67
Monticello City of,Publicly Owned,619,"2,525","38,692",6.53
Murray City of,Publicly Owned,"1,222","4,713","74,523",6.32
Nicholasville City of,Publicly Owned,450,"1,238","25,198",4.91
Nolin Rural Electric Coop Corp,Cooperative,"1,578","6,592","113,273",5.82
Olive Hill City of,Publicly Owned,201,620,"10,357",5.99
"Owen Electric Cooperative, Inc",Cooperative,"1,914","8,312","138,298",6.01
Owensboro City of,Publicly Owned,"2,501","2,604","43,821",5.94
Paducah City of,Publicly Owned,"3,213","17,914","274,537",6.53
Paris City of,Publicly Owned,283,369,"7,100",5.20
Pennyrile Rural Elec Coop Corp,Cooperative,"8,955","17,349","225,168",7.70
Princeton City of,Publicly Owned,660,"2,674","38,277",6.99
Providence City of,Publicly Owned,197,586,"9,897",5.92
Russellville City of,Publicly Owned,725,"3,120","46,758",6.67
Salt River Electric Coop Corp,Cooperative,"2,176","7,885","132,542",5.95
"Shelby Energy Co-op, Inc",Cooperative,552,"3,088","54,282",5.69
South Kentucky Rural E C C,Cooperative,"3,435","3,877","58,693",6.61
Taylor County Rural E C C,Cooperative,"2,362","5,960","105,530",5.65
"The Union Light, Heat & Power Co",Investor-Owned,"12,397","77,389","1,315,452",5.88
Tri-County Elec Member Corp,Cooperative,"4,750","10,069","137,585",7.32
Vanceburg City of,Publicly Owned,305,656,"11,560",5.67
Warren Rural Elec Coop Corp,Cooperative,"7,617","19,886","274,754",7.24
West Kentucky Rural E C C,Cooperative,"5,710","11,126","138,800",8.02
Williamstown Utility Comm,Publicly Owned,226,767,"11,438",6.71
 State Total,,"247,957","782,142","14,745,178",5.30
Louisiana,,,,,
Abbeville City of,Publicly Owned,811,"2,752","29,542",9.32
Alexandria City of,Publicly Owned,"2,789","14,856","353,826",4.20
"Ashley Chicot Elec Coop, Inc",Cooperative,4,2,11,18.18
"Beauregard Electric Coop, Inc",Cooperative,"2,188","10,165","212,176",4.79
Boyce Town of,Publicly Owned,41,118,"1,473",8.01
"Claiborne Electric Coop, Inc",Cooperative,"2,190","6,577","100,751",6.53
Cleco Power LLC,Investor-Owned,"30,720","116,214","1,721,711",6.75
"Concordia Electric Coop, Inc",Cooperative,"1,597","3,509","37,591",9.33
Dixie Electric Membership Corp,Cooperative,"4,916","7,993","111,168",7.19
Elizabeth Town of,Publicly Owned,23,55,620,8.87
Entergy Gulf States Inc,Investor-Owned,"42,127","286,408","4,316,062",6.64
Entergy Louisiana Inc,Investor-Owned,"70,351","403,051","5,538,479",7.28
Entergy New Orleans Inc,Investor-Owned,"16,475","153,776","2,255,283",6.82
Erath City of,Publicly Owned,141,465,"5,315",8.75
Gueydan Town of,Publicly Owned,108,184,"2,505",7.35
"Jefferson Davis Elec Coop, Inc",Cooperative,"1,428","4,631","58,947",7.86
Jonesville City of,Publicly Owned,352,"1,280","11,575",11.06
Kaplan City of,Publicly Owned,255,954,"9,860",9.68
Lafayette City of,Publicly Owned,"7,287","55,506","951,276",5.83
Minden City of,Publicly Owned,"1,023","3,673","41,100",8.94
Morgan City City of,Publicly Owned,"1,255","6,397","97,135",6.59
Natchitoches City of,Publicly Owned,933,"6,702","87,966",7.62
New Roads City of,Publicly Owned,296,"1,310","15,700",8.34
Northeast Louisiana Power Coop Inc.,Cooperative,"2,582","2,714","31,350",8.66
"Panola-Harrison Elec Coop, Inc",Cooperative,515,720,"11,228",6.41
Plaquemine City of,Publicly Owned,331,552,"5,042",10.95
Pointe Coupee Elec Member Corp,Cooperative,"1,830","3,027","39,941",7.58
Rayne City of,Publicly Owned,447,"2,044","24,447",8.36
Ruston City of,Publicly Owned,"1,123","2,107","69,611",3.03
South Louisiana Elec Coop Assn,Cooperative,"2,270","10,250","160,000",6.41
Southwest Louisiana E M C,Cooperative,"6,117","17,643","256,707",6.87
Southwestern Electric Power Co,Investor-Owned,"15,921","85,880","1,725,381",4.98
St Martinville City of,Publicly Owned,277,260,"2,524",10.30
Terrebonne Parish Consol Gov't,Publicly Owned,"1,745","10,953","143,168",7.65
Valley Electric Member Corp,Cooperative,"1,512","5,474","74,000",7.40
Vidalia Town of,Publicly Owned,305,"1,598","17,261",9.26
Vinton Town of,Publicly Owned,239,956,"9,430",10.14
"Washington-St Tammany E C, Inc",Cooperative,"2,412","7,860","119,324",6.59
Welsh Town of,Publicly Owned,158,304,"4,768",6.38
Winnfield City of,Publicly Owned,624,"2,677","31,627",8.46
 State Total,,"225,718","1,241,597","18,685,881",6.64
Maine,,,,,
Bangor Hydro-Electric Co,Investor-Owned,566,"16,216","135,293",11.99
Central Maine Power Co,Investor-Owned,"1,010","24,035","170,168",14.12
"Fox Islands Electric Coop, Inc",Cooperative,275,362,"2,497",14.50
Kennebunk Light & Power Dist,Publicly Owned,698,"1,384","24,218",5.71
Madison Town of,Publicly Owned,314,436,"4,526",9.63
Matinicus Plantation Elec Co,Publicly Owned,3,7,22,31.82
Swans Island Electric Coop Inc,Cooperative,38,79,393,20.10
Van Buren Light & Power Dist,Publicly Owned,222,174,"2,240",7.77
 State Total,,"3,126","42,693","339,357",12.58
Maryland,,,,,
A & N Electric Cooperative,Cooperative,26,47,475,9.89
Baltimore Gas & Electric Co,Investor-Owned,"109,936","495,661","7,975,833",6.21
Berlin Town of,Publicly Owned,241,466,"3,800",12.26
"Choptank Electric Coop, Inc",Cooperative,"3,496","12,482","154,587",8.07
Delmarva Power & Light Company,Investor-Owned,"23,353","117,166","1,507,913",7.77
Easton Utilities Comm,Publicly Owned,"1,907","11,850","159,787",7.42
Hagerstown City of,Publicly Owned,"2,179","3,147","59,184",5.32
Potomac Electric Power Co,Investor-Owned,"35,472","302,979","4,930,780",6.14
"Southern Maryland Elect Cooperative, Inc",Cooperative,"10,929","58,171","936,609",6.21
The Potomac Edison Co,Investor-Owned,"24,211","111,853","1,778,566",6.29
Thurmont Municipal Light Co,Publicly Owned,317,815,"26,532",3.07
Williamsport Town of,Publicly Owned,58,65,"1,300",5.00
 State Total,,"212,125","1,114,702","17,535,366",6.36
Massachusetts,,,,,
Ashburnham Town of,Publicly Owned,125,128,952,13.45
Belmont Town of,Publicly Owned,820,"4,031","42,857",9.41
Boston Edison Co,Investor-Owned,"86,298","709,465","5,876,260",12.07
Boylston Town of,Publicly Owned,156,236,"1,966",12.00
Braintree Town of,Publicly Owned,"2,109","22,077","230,843",9.56
Cambridge Electric Light Co,Investor-Owned,"6,711","97,728","1,174,593",8.32
Chester Town of,Publicly Owned,54,76,710,10.70
Chicopee City of,Publicly Owned,"2,311","9,600","112,789",8.51
Commonwealth Electric Co,Investor-Owned,"38,352","145,754","1,285,226",11.34
Concord Town of,Publicly Owned,"1,068","4,134","36,176",11.43
Danvers Town of,Publicly Owned,"1,367","3,803","30,901",12.31
Fitchburg Gas & Elec Light Co,Investor-Owned,"3,061","12,783","112,100",11.40
Georgetown Town of,Publicly Owned,281,542,"3,651",14.85
Groton Town of,Publicly Owned,281,992,"8,498",11.67
Groveland Town of,Publicly Owned,145,175,"1,781",9.83
Hingham City of,Publicly Owned,803,"3,606","27,621",13.06
Holden Town of,Publicly Owned,610,"2,271","17,113",13.27
Holyoke City of,Publicly Owned,"2,063","17,259","158,012",10.92
Hudson Town of,Publicly Owned,"1,196","2,309","19,748",11.69
Hull Town of,Publicly Owned,154,389,"3,635",10.70
Ipswich Town of,Publicly Owned,604,651,"5,726",11.37
Littleton Town of,Publicly Owned,525,"1,190","12,000",9.92
Mansfield Town of,Publicly Owned,509,"1,533","15,409",9.95
Marblehead City of,Publicly Owned,903,"1,339","11,629",11.51
Massachusetts Electric Co,Investor-Owned,"125,929","567,532","6,505,182",8.72
Merrimac Town of,Publicly Owned,132,123,"1,095",11.23
Middleborough Town of,Publicly Owned,"1,924","7,720","77,902",9.91
Middleton Town of,Publicly Owned,382,"1,551","14,502",10.70
Nantucket Electric Co,Investor-Owned,"1,256","5,231","42,466",12.32
North Attleborough Town of,Publicly Owned,888,"2,006","17,605",11.39
Norwood City of,Publicly Owned,"2,143","9,992","97,606",10.24
Paxton Town of,Publicly Owned,112,110,926,11.88
Peabody City of,Publicly Owned,"2,091","2,339","20,700",11.30
Princeton Town of,Publicly Owned,100,167,"1,312",12.73
Rowley Town of,Publicly Owned,321,882,"9,900",8.91
Russell City of,Publicly Owned,13,95,883,10.76
Shrewsbury Town of,Publicly Owned,949,"3,955","37,335",10.59
South Hadley Town of,Publicly Owned,628,"1,936","16,518",11.72
Sterling Town of,Publicly Owned,193,304,"2,229",13.64
Taunton City of,Publicly Owned,"5,053","18,937","189,494",9.99
Templeton Town of,Publicly Owned,323,805,"6,514",12.36
Wakefield Town of,Publicly Owned,"1,520","2,695","22,715",11.86
Wellesley Town of,Publicly Owned,"1,063","6,373","65,550",9.72
West Boylston Town of,Publicly Owned,446,"3,103","28,967",10.71
Western Massachusetts Elec Co,Investor-Owned,"17,693","112,726","1,195,187",9.43
Westfield City of,Publicly Owned,"1,624","10,974","94,108",11.66
 State Total,,"315,289","1,801,627","17,638,892",10.21
Michigan,,,,,
Alger-Delta Coop Electric Assn,Cooperative,302,993,"13,000",7.64
Alpena Power Co,Investor-Owned,"3,371","8,201","110,753",7.40
Baraga Village of,Publicly Owned,80,176,"2,062",8.54
