"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
City of Sabula,IA,Publicly Owned, 416 , 189 ," 2,442 ",7.74
City of Shelby,IA,Publicly Owned, 283 , 170 ," 2,798 ",6.08
City of Sibley,IA,Publicly Owned," 1,342 ", 969 ," 18,465 ",5.25
City of Sioux Center,IA,Publicly Owned," 1,834 "," 1,260 "," 21,078 ",5.98
City of Stanhope,IA,Publicly Owned, 197 , 157 ," 2,000 ",7.85
City of Stanton,IA,Publicly Owned, 262 , 265 ," 4,044 ",6.55
City of State Center,IA,Publicly Owned, 634 , 534 ," 5,489 ",9.73
City of Stratford,IA,Publicly Owned, 333 , 271 ," 2,324 ",11.66
City of Strawberry Point,IA,Publicly Owned, 654 , 380 ," 4,493 ",8.46
City of Sumner,IA,Publicly Owned, 972 , 695 ," 8,625 ",8.06
City of Tennant,IA,Publicly Owned, 40 , 33 , 336 ,9.82
City of Tipton,IA,Publicly Owned," 1,416 "," 1,150 "," 11,841 ",9.71
City of Traer,IA,Publicly Owned, 969 , 684 ," 8,893 ",7.69
City of Wall Lake,IA,Publicly Owned, 436 , 459 ," 7,812 ",5.88
City of Webster City,IA,Publicly Owned," 3,893 "," 2,534 "," 31,435 ",8.06
City of West Bend,IA,Publicly Owned, 504 , 465 ," 6,437 ",7.22
City of West Liberty,IA,Publicly Owned," 1,294 ", 668 ," 9,764 ",6.84
City of Whittemore,IA,Publicly Owned, 251 , 162 ," 2,366 ",6.85
City of Wilton,IA,Publicly Owned," 1,213 ", 782 ," 10,927 ",7.16
City of Woodbine,IA,Publicly Owned, 663 , 410 ," 7,399 ",5.54
City of Woolstock,IA,Publicly Owned, 103 , 60 ," 1,058 ",5.67
Clarke Electric Coop Inc,IA,Cooperative," 4,634 "," 6,185 "," 50,891 ",12.15
Consumers Energy,IA,Cooperative," 4,492 "," 6,107 "," 59,233 ",10.31
Crlisle City of,IA,Publicly Owned," 1,298 ", 834 ," 11,386 ",7.32
Dayton City of,IA,Publicly Owned, 384 , 269 ," 2,804 ",9.59
East-Central Iowa Rural Elec Coop,IA,Cooperative," 7,424 "," 11,031 "," 110,936 ",9.94
Eastern Iowa Light & Power Coop,IA,Cooperative," 20,585 "," 26,324 "," 261,048 ",10.08
Eldridge City Utilities,IA,Publicly Owned," 1,892 "," 2,432 "," 14,181 ",17.15
Farmers Electric Coop,IA,Cooperative, 652 , 802 ," 12,523 ",6.40
"Farmers Electric Coop, Inc",IA,Cooperative," 4,361 "," 5,804 "," 48,782 ",11.90
Franklin Rural Electric Cooperative,IA,Cooperative," 1,619 "," 2,612 "," 30,598 ",8.54
Freeborn-Mower Coop Services,IA,Cooperative, 7 , 10 , 111 ,9.01
Glidden Rural Electric Coop,IA,Cooperative," 1,571 "," 2,537 "," 28,491 ",8.90
Gowrie Municipal Utilities,IA,Publicly Owned, 482 , 376 ," 3,452 ",10.89
Grafton Electric,IA,Publicly Owned, 130 , 88 ," 1,256 ",7.01
Grand Junction City of,IA,Publicly Owned, 413 , 308 ," 3,320 ",9.28
Grundy Center Mun Light & Power,IA,Publicly Owned," 1,209 ", 835 ," 11,428 ",7.31
Grundy County Rural Elec Coop,IA,Cooperative," 2,000 "," 2,794 "," 28,431 ",9.83
"Grundy Electric Coop, Inc",IA,Cooperative, 227 , 208 ," 2,580 ",8.06
Guthrie County Rural E C A,IA,Cooperative," 4,332 "," 6,022 "," 54,161 ",11.12
Harlan City of,IA,Publicly Owned," 2,296 "," 1,906 "," 23,755 ",8.02
Harrison County Rrl Elec Coop,IA,Cooperative," 3,189 "," 3,710 "," 42,992 ",8.63
Hawkeye Tri-County El Coop Inc,IA,Cooperative," 5,772 "," 8,444 "," 87,262 ",9.68
Heartland Power Coop,IA,Cooperative," 4,717 "," 6,899 "," 82,047 ",8.41
Humboldt County R E C,IA,Cooperative," 1,772 "," 2,535 "," 30,783 ",8.24
Indianola Municipal Utilities,IA,Publicly Owned," 4,896 "," 2,832 "," 44,630 ",6.35
Interstate Power and Light Co,IA,Investor Owned," 400,457 "," 333,443 "," 3,761,671 ",8.86
Iowa Lakes Electric Coop,IA,Cooperative," 9,809 "," 13,107 "," 164,748 ",7.96
Keosauqua Municipal Light & Pwr,IA,Publicly Owned, 506 , 327 ," 4,269 ",7.66
La Porte City Utilities,IA,Publicly Owned," 1,009 ", 642 ," 9,183 ",6.99
Lake Park City of,IA,Publicly Owned, 479 , 287 ," 4,189 ",6.85
Linn County Rural E C A,IA,Cooperative," 16,452 "," 18,847 "," 181,268 ",10.40
Lyon Rural Electric Coop,IA,Cooperative," 1,858 "," 2,857 "," 43,662 ",6.54
Maquoketa City of,IA,Publicly Owned," 2,826 "," 1,902 "," 23,730 ",8.02
Maquoketa Valley Rrl Elec Coop,IA,Cooperative," 13,168 "," 19,082 "," 204,848 ",9.32
MidAmerican Energy Co,IA,Investor Owned," 512,676 "," 404,630 "," 4,678,734 ",8.65
Midland Power Coop,IA,Cooperative," 8,576 "," 13,141 "," 132,154 ",9.94
New London Municipal Utilities,IA,Publicly Owned," 1,122 ", 836 ," 9,686 ",8.63
Nishnabotna Valley R E C,IA,Cooperative," 3,496 "," 4,088 "," 57,899 ",7.06
Nobles Cooperative Electric,IA,Cooperative, 10 , 10 , 136 ,7.35
North West Rural Electric Coop,IA,Cooperative," 8,520 "," 11,049 "," 211,225 ",5.23
"Osceola Electric Coop, Inc",IA,Cooperative," 1,083 "," 1,254 "," 24,548 ",5.11
Pella City of,IA,Publicly Owned," 3,878 "," 3,209 "," 35,326 ",9.08
Pella Cooperative Elec Assn,IA,Cooperative," 2,718 "," 3,342 "," 32,755 ",10.20
Prairie Energy Coop,IA,Cooperative," 3,809 "," 5,027 "," 57,821 ",8.69
"Rideta Electric Coop, Inc",IA,Cooperative," 2,607 "," 3,391 "," 28,628 ",11.85
Rock Rapids Municipal Utility,IA,Publicly Owned," 1,058 ", 673 ," 11,851 ",5.68
Sac County Rural Electric Coop,IA,Cooperative, 923 ," 1,477 "," 15,341 ",9.63
Sanborn City of,IA,Publicly Owned, 557 , 404 ," 6,102 ",6.62
Sergeant Bluff City of,IA,Publicly Owned," 1,345 ", 833 ," 13,880 ",6.00
"Southern Iowa Elec Coop, Inc",IA,Cooperative," 4,433 "," 4,389 "," 51,652 ",8.50
Southwest Iowa Service Coop,IA,Cooperative," 2,978 "," 4,223 "," 35,544 ",11.88
Spencer City of,IA,Publicly Owned," 4,987 "," 2,723 "," 60,598 ",4.49
Story City City of,IA,Publicly Owned," 1,594 "," 1,083 "," 14,935 ",7.25
Stuart City of,IA,Publicly Owned, 741 , 563 ," 6,244 ",9.02
T I P Rural Electric Coop,IA,Cooperative," 5,590 "," 7,259 "," 68,646 ",10.57
Town of Manilla,IA,Publicly Owned, 382 , 219 ," 4,300 ",5.09
Town of Westfield,IA,Publicly Owned, 78 , 69 , 662 ,10.42
Tri-County Electric Coop,IA,Cooperative, 114 , 128 ," 1,402 ",9.13
"United Electric Coop, Inc",IA,Cooperative, 557 , 607 ," 7,217 ",8.41
Villisca City of,IA,Publicly Owned, 618 , 535 ," 5,908 ",9.06
Vinton City of,IA,Publicly Owned," 2,202 "," 1,248 "," 18,232 ",6.85
Waverly Municipal Elec Utility,IA,Publicly Owned," 3,710 "," 2,946 "," 32,626 ",9.03
West Point Utility System,IA,Publicly Owned, 595 , 612 ," 6,497 ",9.42
Western Iowa Power Coop,IA,Cooperative," 4,909 "," 5,781 "," 75,109 ",7.70
Winterset City of,IA,Publicly Owned," 2,043 "," 1,523 "," 18,409 ",8.27
Woodbury County Rural E C A,IA,Cooperative," 2,857 "," 3,950 "," 46,385 ",8.52
"Alfalfa Electric Coop, Inc",KS,Cooperative, 244 , 355 ," 4,293 ",8.27
Aquila Inc,KS,Investor Owned," 52,368 "," 41,761 "," 469,741 ",8.89
"Ark Valley Elec Coop Assn, Inc",KS,Cooperative," 4,158 "," 4,937 "," 42,361 ",11.65
Bluestem Electric Coop Inc,KS,Cooperative," 5,101 "," 6,290 "," 58,705 ",10.71
Brown-Atchison E C A Inc,KS,Cooperative," 2,776 "," 3,893 "," 50,879 ",7.65
"Butler Rural El Coop Assn, Inc",KS,Cooperative," 5,785 "," 8,504 "," 82,155 ",10.35
"Caney Valley El Coop Assn, Inc",KS,Cooperative," 3,666 "," 3,592 "," 29,562 ",12.15
City of Alma,KS,Publicly Owned, 356 , 269 ," 3,199 ",8.41
City of Altamont,KS,Publicly Owned, 518 , 644 ," 7,928 ",8.12
City of Anthony,KS,Publicly Owned," 1,192 ", 921 ," 10,817 ",8.51
City of Arcadia,KS,Publicly Owned, 191 , 176 ," 1,372 ",12.83
City of Arma,KS,Publicly Owned, 755 , 728 ," 6,862 ",10.61
City of Ashland,KS,Publicly Owned, 543 , 432 ," 4,246 ",10.17
City of Attica,KS,Publicly Owned, 368 , 299 ," 3,326 ",8.99
City of Augusta,KS,Publicly Owned," 3,839 "," 3,112 "," 38,073 ",8.17
City of Axtell,KS,Publicly Owned, 197 , 113 ," 1,787 ",6.32
City of Baldwin City,KS,Publicly Owned," 1,344 "," 1,558 "," 12,647 ",12.32
City of Belleville,KS,Publicly Owned," 1,148 "," 1,054 "," 8,430 ",12.50
City of Beloit,KS,Publicly Owned," 1,800 "," 1,188 "," 16,251 ",7.31
City of Blue Mound,KS,Publicly Owned, 174 , 259 ," 1,898 ",13.65
City of Bronson,KS,Publicly Owned, 149 , 121 ," 1,456 ",8.31
City of Burlingame,KS,Publicly Owned, 563 , 459 ," 5,208 ",8.81
City of Burlington,KS,Publicly Owned," 1,284 ", 919 ," 12,255 ",7.50
City of Cawker City,KS,Publicly Owned, 378 , 274 ," 3,241 ",8.45
City of Centralia,KS,Publicly Owned, 248 , 195 ," 2,045 ",9.54
City of Chanute,KS,Publicly Owned," 4,724 "," 3,768 "," 45,068 ",8.36
City of Chapman,KS,Publicly Owned, 567 , 556 ," 6,586 ",8.44
City of Chetopa,KS,Publicly Owned, 665 , 559 ," 6,395 ",8.74
City of Cimarron,KS,Publicly Owned, 860 , 738 ," 7,060 ",10.45
City of Clay Center,KS,Publicly Owned," 2,268 "," 1,729 "," 20,114 ",8.60
City of Coffeyville,KS,Publicly Owned," 5,925 "," 4,272 "," 53,294 ",8.02
City of Colby,KS,Publicly Owned," 2,295 "," 1,495 "," 19,093 ",7.83
City of Dighton,KS,Publicly Owned, 659 , 504 ," 4,911 ",10.26
City of Ellinwood,KS,Publicly Owned," 1,148 "," 1,193 "," 12,608 ",9.46
City of Elsmore,KS,Publicly Owned, 55 , 37 , 403 ,9.18
City of Elwood,KS,Publicly Owned, 500 , 481 ," 4,818 ",9.98
City of Enterprise,KS,Publicly Owned, 359 , 266 ," 3,807 ",6.99
City of Eudora,KS,Publicly Owned," 2,058 "," 1,712 "," 19,569 ",8.75
City of Fredonia,KS,Publicly Owned," 1,419 "," 1,154 "," 11,821 ",9.76
City of Galva,KS,Publicly Owned, 336 , 340 ," 4,064 ",8.37
City of Garden City,KS,Publicly Owned," 9,613 "," 7,138 "," 73,774 ",9.68
City of Gardner,KS,Publicly Owned," 4,252 "," 3,945 "," 50,589 ",7.80
City of Garnett,KS,Publicly Owned," 1,577 "," 1,272 "," 13,470 ",9.44
City of Glasco,KS,Publicly Owned, 356 , 220 ," 2,583 ",8.52
City of Glen Elder,KS,Publicly Owned, 298 , 189 ," 2,285 ",8.27
City of Goodland,KS,Publicly Owned," 2,228 "," 1,617 "," 16,709 ",9.68
City of Greensburg,KS,Publicly Owned, 812 , 645 ," 6,562 ",9.83
City of Haven,KS,Publicly Owned, 503 , 424 ," 5,200 ",8.15
City of Herington,KS,Publicly Owned," 1,328 ", 988 ," 10,364 ",9.53
City of Herndon,KS,Publicly Owned, 127 , 72 , 955 ,7.54
City of Hill City,KS,Publicly Owned, 825 , 623 ," 6,632 ",9.39
City of Hillsboro,KS,Publicly Owned," 1,162 ", 885 ," 9,358 ",9.46
City of Hoisington,KS,Publicly Owned," 1,242 ", 965 ," 13,208 ",7.31
City of Holton,KS,Publicly Owned," 1,913 "," 1,223 "," 16,183 ",7.56
City of Holyrood,KS,Publicly Owned, 280 , 201 ," 2,123 ",9.47
City of Horton,KS,Publicly Owned, 931 , 717 ," 8,797 ",8.15
City of Hugoton,KS,Publicly Owned," 1,630 "," 1,472 "," 14,280 ",10.31
City of Iola,KS,Publicly Owned," 3,246 "," 2,139 "," 31,996 ",6.69
City of Isabel,KS,Publicly Owned, 56 , 39 , 408 ,9.56
City of Iuka,KS,Publicly Owned, 98 , 87 , 774 ,11.24
City of Jetmore,KS,Publicly Owned, 450 , 293 ," 3,834 ",7.64
City of Johnson,KS,Publicly Owned, 536 , 571 ," 4,827 ",11.83
City of Kansas City,KS,Publicly Owned," 58,865 "," 42,427 "," 537,863 ",7.89
City of Kiowa,KS,Publicly Owned, 578 , 478 ," 5,487 ",8.71
City of La Crosse,KS,Publicly Owned, 669 , 525 ," 5,406 ",9.71
City of La Harpe,KS,Publicly Owned, 305 , 235 ," 2,747 ",8.55
City of Lakin,KS,Publicly Owned, 891 , 793 ," 6,739 ",11.77
City of Larned,KS,Publicly Owned," 2,198 "," 1,828 "," 17,949 ",10.18
City of Lincoln Center,KS,Publicly Owned, 710 , 429 ," 5,639 ",7.61
City of Lindsborg,KS,Publicly Owned," 1,403 ", 990 ," 12,169 ",8.14
City of Lucas,KS,Publicly Owned, 267 , 166 ," 1,733 ",9.58
City of Luray,KS,Publicly Owned, 138 , 67 , 491 ,13.65
City of Marion,KS,Publicly Owned, 978 , 985 ," 8,572 ",11.49
City of Meade,KS,Publicly Owned, 740 , 776 ," 6,498 ",11.94
City of Minneapolis,KS,Publicly Owned, 889 , 764 ," 8,443 ",9.05
City of Montezuma,KS,Publicly Owned, 414 , 337 ," 3,415 ",9.87
City of Moran,KS,Publicly Owned, 246 , 214 ," 2,477 ",8.64
City of Morrill,KS,Publicly Owned, 108 , 90 , 994 ,9.05
City of Moundridge,KS,Publicly Owned, 729 , 680 ," 8,435 ",8.06
City of Mulberry,KS,Publicly Owned, 263 , 248 ," 2,259 ",10.98
City of Mulvane,KS,Publicly Owned," 2,060 "," 1,713 "," 22,385 ",7.65
City of Muscotah,KS,Publicly Owned, 99 , 78 , 795 ,9.81
City of Neodesha,KS,Publicly Owned," 1,370 "," 1,137 "," 12,420 ",9.15
City of Norton,KS,Publicly Owned," 1,449 "," 1,036 "," 11,400 ",9.09
City of Oakley,KS,Publicly Owned, 979 , 675 ," 7,900 ",8.54
City of Oberlin,KS,Publicly Owned," 1,005 ", 729 ," 7,230 ",10.08
City of Osage City,KS,Publicly Owned," 1,315 "," 1,191 "," 12,451 ",9.57
City of Osborne,KS,Publicly Owned, 835 , 508 ," 6,537 ",7.77
City of Oxford,KS,Publicly Owned, 508 , 374 ," 5,004 ",7.47
City of Pomona,KS,Publicly Owned, 494 , 305 ," 5,281 ",5.78
City of Pratt,KS,Publicly Owned," 3,705 "," 3,452 "," 29,510 ",11.70
City of Prescott,KS,Publicly Owned, 124 , 100 ," 1,618 ",6.18
City of Radium,KS,Publicly Owned, 23 , 18 , 229 ,7.86
City of Robinson,KS,Publicly Owned, 122 , 70 ," 1,006 ",6.96
City of Russell,KS,Publicly Owned," 2,367 "," 1,777 "," 21,498 ",8.27
City of Sabetha,KS,Publicly Owned," 1,256 ", 926 ," 14,911 ",6.21
City of Savonburg,KS,Publicly Owned, 54 , 38 , 363 ,10.47
City of Scranton,KS,Publicly Owned, 298 , 317 ," 4,013 ",7.90
City of Seneca,KS,Publicly Owned, 976 , 678 ," 9,328 ",7.27
City of Seward,KS,Publicly Owned, 39 , 36 , 415 ,8.67
City of Sharon Springs,KS,Publicly Owned, 447 , 333 ," 2,750 ",12.11
City of St Francis,KS,Publicly Owned, 889 , 566 ," 5,077 ",11.15
City of St Marys,KS,Publicly Owned, 844 , 643 ," 8,206 ",7.84
City of Stafford,KS,Publicly Owned, 645 , 572 ," 5,101 ",11.21
City of Sterling,KS,Publicly Owned, 988 , 851 ," 8,343 ",10.20
City of Stockton,KS,Publicly Owned, 747 , 558 ," 5,587 ",9.99
City of Toronto,KS,Publicly Owned, 256 , 176 ," 1,306 ",13.48
City of Troy,KS,Publicly Owned, 498 , 382 ," 4,388 ",8.71
City of Udall,KS,Publicly Owned, 332 , 329 ," 3,791 ",8.68
City of Vermillion,KS,Publicly Owned, 86 , 49 , 511 ,9.59
City of Wamego,KS,Publicly Owned," 1,751 "," 1,459 "," 16,851 ",8.66
City of Waterville,KS,Publicly Owned, 395 , 236 ," 2,108 ",11.20
City of Wathena,KS,Publicly Owned, 549 , 581 ," 6,555 ",8.86
City of Wellington,KS,Publicly Owned," 3,849 "," 3,194 "," 37,627 ",8.49
City of Winfield,KS,Publicly Owned," 6,673 "," 5,309 "," 59,188 ",8.97
CMS Electric Coop Inc,KS,Cooperative," 1,986 "," 2,575 "," 23,318 ",11.04
"D S & O Rural E C A, Inc",KS,Cooperative," 6,238 "," 7,207 "," 76,710 ",9.40
"Doniphan Elec Coop Assn, Inc",KS,Cooperative," 1,523 "," 1,204 "," 15,218 ",7.91
Empire District Electric Co,KS,Investor Owned," 8,798 "," 7,985 "," 111,873 ",7.14
Erie City of,KS,Publicly Owned, 521 , 452 ," 4,776 ",9.46
"Flint Hills Rural E C A, Inc",KS,Cooperative," 5,287 "," 5,582 "," 48,525 ",11.50
Girard City of,KS,Publicly Owned," 1,384 "," 1,247 "," 13,245 ",9.41
"Heartland Rural Elec Coop, Inc",KS,Cooperative," 9,173 "," 10,557 "," 96,133 ",10.98
Kansas City Power & Light Co,KS,Investor Owned," 196,308 "," 180,341 "," 2,598,208 ",6.94
Kansas Gas & Electric Co,KS,Investor Owned," 264,206 "," 220,929 "," 2,842,279 ",7.77
Kaw Valley Electric Coop Inc,KS,Cooperative," 7,754 "," 8,293 "," 99,506 ",8.33
Kingman City of,KS,Publicly Owned," 1,600 "," 1,038 "," 14,352 ",7.23
"Lane-Scott Electric Coop, Inc",KS,Cooperative, 959 ," 1,074 "," 10,362 ",10.36
"Leavenworth-Jefferson E C, Inc",KS,Cooperative," 7,091 "," 8,730 "," 83,770 ",10.42
"Lyon-Coffey Electric Coop, Inc",KS,Cooperative," 5,463 "," 6,553 "," 62,108 ",10.55
Mankato City of,KS,Publicly Owned, 504 , 278 ," 3,842 ",7.24
McPherson City of,KS,Publicly Owned," 7,048 "," 3,702 "," 82,198 ",4.50
Midwest Energy Inc,KS,Cooperative," 29,564 "," 20,123 "," 245,424 ",8.20
Mount Hope City of,KS,Publicly Owned, 321 , 308 ," 3,304 ",9.32
"Nemaha-Marshall E C A, Inc",KS,Cooperative," 2,962 "," 2,628 "," 35,557 ",7.39
Ninnescah Rural E C A Inc,KS,Cooperative," 2,609 "," 2,608 "," 23,018 ",11.33
Osawatomie City of,KS,Publicly Owned," 1,900 "," 1,560 "," 17,160 ",9.09
Ottawa City of,KS,Publicly Owned," 5,187 "," 3,649 "," 46,539 ",7.84
"Pioneer Electric Coop, Inc",KS,Cooperative," 4,923 "," 5,313 "," 55,598 ",9.56
Prairie Land Electric Coop Inc,KS,Cooperative," 3,381 "," 4,080 "," 39,337 ",10.37
"Radiant Electric Coop, Inc",KS,Cooperative," 2,756 "," 3,243 "," 29,621 ",10.95
Rolling Hills Electric Coop,KS,Cooperative," 8,806 "," 8,198 "," 69,419 ",11.81
Sedgwick Cnty El Coop Assn Inc,KS,Cooperative," 4,237 "," 6,119 "," 65,825 ",9.30
Southwestern Public Service Co,KS,Investor Owned," 1,042 ", 707 ," 9,833 ",7.19
St John City of,KS,Publicly Owned, 693 , 601 ," 5,686 ",10.57
"Sumner-Cowley Elec Coop, Inc",KS,Cooperative," 3,851 "," 5,392 "," 46,252 ",11.66
Town of Summerfield,KS,Publicly Owned, 99 , 55 , 827 ,6.65
"Tri-County Electric Coop, Inc",KS,Cooperative, 8 , 8 , 71 ,11.27
Twin Valley Electric Coop Inc,KS,Cooperative," 2,171 "," 2,588 "," 23,349 ",11.08
Victory Electric Coop Assn Inc,KS,Cooperative," 2,530 "," 3,016 "," 25,572 ",11.79
Washington City of,KS,Publicly Owned, 543 , 507 ," 4,474 ",11.33
Westar Energy Inc,KS,Investor Owned," 304,691 "," 212,026 "," 3,188,966 ",6.65
Western Coop Electric Assn Inc,KS,Cooperative," 3,079 "," 2,278 "," 22,118 ",10.30
"Wheatland Electric Coop, Inc",KS,Cooperative," 9,790 "," 9,260 "," 85,665 ",10.81
Barbourville Utility Comm,KY,Publicly Owned," 3,368 "," 2,010 "," 38,949 ",5.16
Berea College,KY,Investor Owned," 3,971 "," 2,497 "," 51,579 ",4.84
Big Sandy Rural Elec Coop Corp,KY,Cooperative," 11,602 "," 10,606 "," 176,097 ",6.02
Blue Grass Energy Coop Corp,KY,Cooperative," 48,060 "," 45,289 "," 706,843 ",6.41
City of Bardstown,KY,Publicly Owned," 3,102 "," 2,253 "," 42,422 ",5.31
City of Bardwell,KY,Publicly Owned, 472 , 285 ," 4,774 ",5.97
City of Benham,KY,Publicly Owned, 275 , 267 ," 4,827 ",5.53
City of Benton,KY,Publicly Owned," 1,776 "," 1,704 "," 23,771 ",7.17
City of Bowling Green,KY,Publicly Owned," 20,735 "," 15,076 "," 229,244 ",6.58
City of Falmouth,KY,Publicly Owned," 1,262 ", 647 ," 9,540 ",6.78
City of Franklin,KY,Publicly Owned," 3,921 "," 2,855 "," 46,201 ",6.18
City of Fulton,KY,Publicly Owned," 1,368 "," 1,098 "," 16,501 ",6.65
City of Glasgow,KY,Publicly Owned," 5,092 "," 3,932 "," 59,924 ",6.56
City of Hickman,KY,Publicly Owned, 968 , 870 ," 11,550 ",7.53
City of Hopkinsville,KY,Publicly Owned," 11,060 "," 8,314 "," 133,856 ",6.21
City of Jellico,KY,Publicly Owned," 1,947 "," 1,759 "," 25,040 ",7.02
City of Mayfield Plant Board,KY,Publicly Owned," 4,761 "," 3,530 "," 52,633 ",6.71
City of Monticello,KY,Publicly Owned," 2,762 "," 2,347 "," 38,238 ",6.14
City of Murray,KY,Publicly Owned," 6,140 "," 5,187 "," 74,813 ",6.93
City of Nicholasville,KY,Publicly Owned," 5,249 "," 3,342 "," 70,034 ",4.77
City of Owensboro,KY,Publicly Owned," 22,510 "," 13,155 "," 224,620 ",5.86
City of Paducah,KY,Publicly Owned," 18,629 "," 14,092 "," 223,616 ",6.30
City of Paris,KY,Publicly Owned," 2,659 "," 1,479 "," 28,000 ",5.28
City of Princeton,KY,Publicly Owned," 3,262 "," 2,356 "," 32,712 ",7.20
City of Providence,KY,Publicly Owned," 1,360 "," 1,062 "," 15,901 ",6.68
City of Vanceburg,KY,Publicly Owned," 2,385 "," 1,725 "," 29,893 ",5.77
Clark Energy Coop Inc,KY,Cooperative," 22,939 "," 20,515 "," 297,031 ",6.91
Corbin City Utilities Comm,KY,Publicly Owned," 3,345 "," 1,985 "," 35,666 ",5.57
Cumberland Valley Rural E C C,KY,Cooperative," 22,936 "," 17,966 "," 303,095 ",5.93
Farmers Rural Electric Coop Corp,KY,Cooperative," 21,018 "," 17,815 "," 292,008 ",6.10
Fleming-Mason Energy Coop Inc,KY,Cooperative," 20,455 "," 16,665 "," 261,394 ",6.38
Frankfort City of,KY,Publicly Owned," 16,778 "," 9,517 "," 203,556 ",4.68
Grayson Rural Electric Coop Corp,KY,Cooperative," 13,632 "," 13,069 "," 174,698 ",7.48
Henderson City Utility Comm,KY,Publicly Owned," 9,868 "," 5,545 "," 135,890 ",4.08
Hickman-Fulton Counties RECC,KY,Cooperative," 3,053 "," 3,598 "," 45,377 ",7.93
Inter County Energy Coop Corp,KY,Cooperative," 23,800 "," 22,881 "," 343,076 ",6.67
Jackson Energy Coop Corp,KY,Cooperative," 46,199 "," 48,570 "," 666,453 ",7.29
Jackson Purchase Energy CC,KY,Cooperative," 24,934 "," 22,575 "," 360,988 ",6.25
Kenergy Corp,KY,Cooperative," 44,967 "," 41,020 "," 688,284 ",5.96
Kentucky Power Co,KY,Investor Owned," 144,487 "," 120,001 "," 2,356,515 ",5.09
Kentucky Utilities Co,KY,Investor Owned," 393,528 "," 257,600 "," 5,593,780 ",4.61
Licking Valley Rural E C C,KY,Cooperative," 15,513 "," 13,171 "," 189,864 ",6.94
Louisville Gas & Electric Co,KY,Investor Owned," 337,768 "," 223,404 "," 3,834,690 ",5.83
Madisonville Municipal Utils,KY,Publicly Owned," 7,129 "," 4,433 "," 75,322 ",5.89
Meade County Rural E C C,KY,Cooperative," 23,953 "," 18,213 "," 291,178 ",6.25
Nolin Rural Electric Coop Corp,KY,Cooperative," 26,970 "," 25,416 "," 408,000 ",6.23
Olive Hill City of,KY,Publicly Owned," 1,146 ", 782 ," 14,006 ",5.58
Owen Electric Coop Inc,KY,Cooperative," 48,696 "," 42,681 "," 621,338 ",6.87
Pennyrile Rural Elec Coop Corp,KY,Cooperative," 34,829 "," 36,463 "," 519,343 ",7.02
Russellville City of,KY,Publicly Owned," 3,315 "," 2,400 "," 36,306 ",6.61
Salt River Electric Coop Corp,KY,Cooperative," 38,182 "," 36,043 "," 585,189 ",6.16
"Shelby Energy Co-op, Inc",KY,Cooperative," 13,185 "," 13,127 "," 203,175 ",6.46
South Kentucky Rural E C C,KY,Cooperative," 54,362 "," 44,057 "," 706,597 ",6.24
Taylor County Rural E C C,KY,Cooperative," 20,774 "," 17,978 "," 280,947 ",6.40
Tri-County Elec Member Corp,KY,Cooperative," 19,061 "," 18,960 "," 267,081 ",7.10
Union Light Heat & Power Co,KY,Investor Owned," 113,989 "," 87,234 "," 1,344,648 ",6.49
Warren Rural Elec Coop Corp,KY,Cooperative," 45,651 "," 49,306 "," 724,923 ",6.80
West Kentucky Rural E C C,KY,Cooperative," 30,747 "," 33,126 "," 455,106 ",7.28
Williamstown Utility Comm,KY,Publicly Owned," 1,287 "," 1,184 "," 16,543 ",7.16
"Ashley Chicot Elec Coop, Inc",LA,Cooperative, 111 , 132 ," 1,484 ",8.89
"Beauregard Electric Coop, Inc",LA,Cooperative," 33,224 "," 35,932 "," 515,700 ",6.97
City of Abbeville,LA,Publicly Owned," 4,210 "," 4,709 "," 48,905 ",9.63
City of Alexandria,LA,Publicly Owned," 20,624 "," 12,251 "," 347,758 ",3.52
City of Erath,LA,Publicly Owned, 827 ," 1,063 "," 11,529 ",9.22
City of Kaplan,LA,Publicly Owned," 1,674 "," 2,308 "," 20,940 ",11.02
City of Lafayette,LA,Publicly Owned," 46,780 "," 51,023 "," 751,261 ",6.79
City of Minden,LA,Publicly Owned," 5,315 "," 4,784 "," 60,063 ",7.96
City of Natchitoches,LA,Publicly Owned," 6,850 "," 6,701 "," 81,270 ",8.25
City of New Roads,LA,Publicly Owned," 1,593 "," 1,802 "," 21,670 ",8.32
City of Rayne,LA,Publicly Owned," 3,405 "," 4,064 "," 42,831 ",9.49
City of Ruston,LA,Publicly Owned," 7,376 "," 2,560 "," 89,439 ",2.86
City of St Martinville,LA,Publicly Owned," 2,466 "," 3,026 "," 30,982 ",9.77
City of Winnfield,LA,Publicly Owned," 2,405 "," 2,847 "," 33,866 ",8.41
"Claiborne Electric Coop, Inc",LA,Cooperative," 19,973 "," 18,695 "," 276,277 ",6.77
Cleco Power LLC,LA,Investor Owned," 218,704 "," 279,549 "," 3,428,776 ",8.15
"Concordia Electric Coop, Inc",LA,Cooperative," 10,631 "," 8,360 "," 123,504 ",6.77
Dixie Electric Membership Corp,LA,Cooperative," 76,321 "," 96,630 "," 1,279,720 ",7.55
Entergy Gulf States Inc,LA,Investor Owned," 294,400 "," 394,512 "," 4,618,974 ",8.54
